Unnamed: 0,BUF,NYJ
First Downs,23,18
Rush-Yds-TDs,32-187-2,24-165-2
Cmp-Att-Yd-TD-INT,24-39-148-1-3,17-30-207-1-2
Sacked-Yards,3-29,0-0
Net Pass Yards,119,207
Total Yards,306,372
Fumbles-Lost,4-1,0-0
Turnovers,4,2
Penalties-Yards,4-33,3-25
Third Down Conv.,6-14,4-11
Fourth Down Conv.,2-2,0-1
Time of Possession,35:29,24:31
