Unnamed: 0,DET,DEN
First Downs,13,25
Rush-Yds-TDs,21-96-0,33-150-2
Cmp-Att-Yd-TD-INT,12-24-117-1-0,26-34-198-1-0
Sacked-Yards,4-22,0-0
Net Pass Yards,95,198
Total Yards,191,348
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,7-68,6-50
Third Down Conv.,4-11,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,23:52,36:08
