Unnamed: 0,PHI,TEN
First Downs,17,22
Rush-Yds-TDs,22-80-0,25-61-1
Cmp-Att-Yd-TD-INT,18-36-212-3-2,24-34-269-2-1
Sacked-Yards,6-31,1-2
Net Pass Yards,181,267
Total Yards,261,328
Fumbles-Lost,1-1,4-3
Turnovers,3,4
Penalties-Yards,10-113,6-50
Third Down Conv.,7-15,6-10
Fourth Down Conv.,1-1,0-0
Time of Possession,29:12,30:48
