Quarter,Time,Tm,Detail,PHI,TEN
1.0,7:10,Titans,Eddie George 14 yard pass from Steve McNair (Joe Nedney kick),0,7
,5:20,Eagles,James Thrash 18 yard pass from Donovan McNabb (David Akers kick),7,7
,2:36,Eagles,Duce Staley 7 yard pass from Donovan McNabb (David Akers kick),14,7
2.0,11:00,Titans,Joe Nedney 33 yard field goal,14,10
,5:05,Eagles,Chad Lewis 7 yard pass from Donovan McNabb (David Akers kick),21,10
,0:48,Eagles,David Akers 30 yard field goal,24,10
3.0,11:06,Titans,Joe Nedney 47 yard field goal,24,13
4.0,12:49,Titans,Justin McCareins 2 yard pass from Steve McNair (run failed),24,19
,3:09,Titans,Eddie George 2 yard rush (Steve McNair run),24,27
