Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Joe Nedney kicks off 58 yards, returned by Brian Mitchell for 21 yards (tackle by Tank Williams)",0.000,1.140
1,15:00,1,10,PHI 33,0,0,Donovan McNabb sacked by Henry Ford and Kevin Carter for -3 yards,1.140,0.190
1,14:26,2,13,PHI 30,0,0,Donovan McNabb pass complete to Dorsey Levens for 16 yards (tackle by Lance Schulters),0.190,1.990
1,13:47,1,10,PHI 46,0,0,Dorsey Levens middle for no gain (tackle by Randall Godfrey and Kevin Carter),1.990,1.450
1,13:13,2,10,PHI 46,0,0,Duce Staley middle for 3 yards (tackle by Robaire Smith),1.450,1.160
1,12:44,3,7,PHI 49,0,0,Donovan McNabb pass incomplete intended for Chad Lewis,1.160,-0.130
1,12:39,4,7,PHI 49,0,0,"Sean Landeta punts 51 yards, touchback",-0.130,-0.280
1,12:29,1,10,TEN 20,0,0,Steve McNair pass complete to Derrick Mason for 20 yards (tackle by Brian Dawkins),0.280,1.600
1,11:44,1,10,TEN 40,0,0,Eddie George middle for 10 yards (tackle by Carlos Emmons and Blaine Bishop),1.600,2.260
1,11:03,1,10,,0,0,Eddie George left tackle for no gain (tackle by Darwin Walker and Shawn Barber),2.260,1.710
1,10:25,2,10,,0,0,Steve McNair pass complete to John Simon for 6 yards (tackle by Al Harris and Shawn Barber),1.710,1.820
1,9:44,3,4,PHI 44,0,0,Steve McNair for 9 yards,1.820,3.250
1,9:15,1,10,PHI 35,0,0,Eddie George right guard for 9 yards (tackle by Brian Dawkins and Carlos Emmons),3.250,3.920
1,8:28,2,1,PHI 26,0,0,Steve McNair pass complete to Derrick Mason for 7 yards (tackle by Shawn Barber),3.920,4.310
1,7:46,1,10,PHI 19,0,0,"Eddie George right tackle for -1 yards (tackle by Derrick Burgess). Penalty on Darwin Walker: Defensive Offside, 5 yards (no play)",4.310,5.300
1,7:19,1,5,PHI 14,0,6,"Steve McNair pass complete to Eddie George for 14 yards, touchdown",5.300,7.000
1,7:19,,,PHI 14,0,7,Joe Nedney kicks extra point good,0.000,0.000
1,7:19,,,TEN 30,0,7,"Joe Nedney kicks off 70 yards, returned by Brian Mitchell for 26 yards (tackle by Mike Echols)",0.000,0.670
1,7:10,1,10,PHI 26,0,7,Donovan McNabb pass incomplete intended for Todd Pinkston,0.670,0.130
1,7:01,2,10,PHI 26,0,7,Donovan McNabb pass complete to Duce Staley for 7 yards (tackle by Keith Bulluck),0.130,0.370
1,6:31,3,3,PHI 33,0,7,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Carlos Hall),0.370,-1.180
1,6:26,4,3,PHI 33,0,7,"Sean Landeta punts 52 yards, returned by John Simon for 1 yard (tackle by Brian Mitchell). John Simon fumbles (forced by Brian Mitchell), recovered by Brian Mitchell at TEN-15 and returned for 9 yards",-1.180,5.830
1,6:13,1,6,TEN 6,0,7,"Donovan McNabb pass incomplete intended for Chad Lewis (defended by Tank Williams). Penalty on Duce Staley: Offensive Holding, 10 yards (no play)",5.830,4.310
1,6:08,1,16,TEN 16,0,7,Donovan McNabb pass complete to Dorsey Levens for -2 yards (tackle by Randall Godfrey),4.310,3.150
1,5:24,2,18,TEN 18,6,7,"Donovan McNabb pass complete to James Thrash for 18 yards, touchdown",3.150,7.000
1,5:24,,,TEN 18,7,7,David Akers kicks extra point good,0.000,0.000
1,5:24,,,PHI 30,7,7,"David Akers kicks onside 9 yards, recovered by Jeff Thomason (onside kick successful)",0.000,1.530
,,,,,,,"TEN challenged the ruling, and the play was upheld.",,
1,5:19,1,10,PHI 39,7,7,Brian Westbrook middle for 7 yards (tackle by Lance Schulters and Robaire Smith),1.530,1.930
1,4:38,2,3,PHI 46,7,7,Donovan McNabb pass complete to James Thrash for 14 yards (tackle by Samari Rolle),1.930,2.920
1,4:03,1,10,TEN 40,7,7,Donovan McNabb pass incomplete intended for James Thrash,2.920,2.370
1,3:58,2,10,TEN 40,7,7,Donovan McNabb pass complete to Duce Staley for 16 yards (tackle by Peter Sirmon),2.370,3.970
1,3:18,1,10,TEN 24,7,7,Donovan McNabb pass complete to Todd Pinkston for 17 yards (tackle by Lance Schulters and Samari Rolle),3.970,5.600
1,2:40,1,7,TEN 7,13,7,"Donovan McNabb pass complete to Duce Staley for 7 yards, touchdown",5.600,7.000
1,2:40,,,TEN 7,14,7,David Akers kicks extra point good,0.000,0.000
1,2:40,,,PHI 30,14,7,"David Akers kicks off 69 yards, returned by John Simon for 21 yards (tackle by Michael Lewis). Penalty on Shad Meier: Offensive Holding, 10 yards",0.000,-0.380
1,2:36,1,10,TEN 10,14,7,Eddie George right tackle for -4 yards (tackle by Corey Simon),-0.380,-1.070
1,1:39,2,14,TEN 6,14,7,Steve McNair pass complete to Robert Holcombe for 17 yards (tackle by Blaine Bishop),-1.070,0.480
1,1:01,1,10,TEN 23,14,7,Steve McNair pass complete to Erron Kinney for 25 yards (tackle by Brian Dawkins),0.480,2.130
1,1:01,1,10,TEN 48,14,7,Robert Holcombe left tackle for 4 yards (tackle by Hugh Douglas),2.130,2.120
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,PHI 48,14,7,Steve McNair pass complete to Frank Wycheck for 13 yards (tackle by Blaine Bishop and Levon Kirkland),2.120,3.250
2,14:17,1,10,PHI 35,14,7,Steve McNair pass complete to Derrick Mason for 9 yards (tackle by Al Harris),3.250,3.920
