Unnamed: 0,MIA,BAL
First Downs,13,19
Rush-Yds-TDs,19-45-0,40-174-0
Cmp-Att-Yd-TD-INT,25-44-176-0-2,13-22-121-2-0
Sacked-Yards,3-25,0-0
Net Pass Yards,151,121
Total Yards,196,295
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,7-43,5-40
Third Down Conv.,4-15,3-13
Fourth Down Conv.,0-2,0-0
Time of Possession,28:46,31:14
