Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,MIA 25,0,0,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",0.610,0.280
1,15:00,1,15,MIA 20,0,0,Matt Moore pass incomplete short middle intended for Jarvis Landry (defended by Jimmy Smith),0.280,-0.610
1,14:55,2,15,MIA 20,0,0,Jay Ajayi left guard for 21 yards (tackle by Eric Weddle),-0.610,1.660
1,14:18,1,10,MIA 41,0,0,Jay Ajayi middle for -2 yards (tackle by Lardarius Webb),1.660,0.850
1,13:44,2,12,MIA 39,0,0,Matt Moore pass complete short left to Anthony Fasano for 7 yards (tackle by Jimmy Smith),0.850,1.090
1,13:04,3,5,MIA 46,0,0,Matt Moore pass complete short right to Julius Thomas for -1 yards (tackle by Tony Jefferson),1.090,-0.390
1,12:26,4,6,MIA 45,0,0,"Matt Haack punts 34 yards, fair catch by Lardarius Webb",-0.390,-0.340
1,12:18,1,10,BAL 21,0,0,Alex Collins right tackle for 5 yards (tackle by Davon Godchaux and Ndamukong Suh),0.340,0.480
1,11:42,2,5,BAL 26,0,0,Joe Flacco pass complete short middle to Jeremy Maclin for 6 yards (tackle by Rey Maualuga),0.480,1.070
1,11:13,1,10,BAL 32,0,0,Joe Flacco pass incomplete short right intended for Jeremy Maclin,1.070,0.530
1,11:08,2,10,BAL 32,0,0,Alex Collins right guard for 5 yards (tackle by Lawrence Timmons and Davon Godchaux),0.530,0.500
1,10:26,3,5,BAL 37,0,0,Joe Flacco pass incomplete,0.500,-0.910
1,10:16,4,5,BAL 37,0,0,"Sam Koch punts 55 yards, returned by Jakeem Grant for 1 yard (tackle by Vince Mayle)",-0.910,0.380
1,10:03,1,10,MIA 9,0,0,Jay Ajayi right guard for -3 yards (tackle by Brandon Williams),-0.380,-1.000
1,9:25,2,13,MIA 6,0,0,Matt Moore pass incomplete short left intended for Jakeem Grant (defended by Terrell Suggs),-1.000,-1.770
1,9:21,3,13,MIA 6,0,0,Matt Moore pass incomplete short right intended for Leonte Carroo. Penalty on Jarvis Landry: Illegal Formation (Declined),-1.770,-2.490
1,9:18,4,13,MIA 6,0,0,"Matt Haack punts 36 yards, returned by Griff Whalen for 2 yards (tackle by Michael Thomas)",-2.490,-2.920
1,9:09,1,10,MIA 40,0,0,Alex Collins right guard for 2 yards (tackle by Ndamukong Suh),2.920,2.640
1,8:47,2,8,MIA 38,0,0,Joe Flacco pass complete short right to Ben Watson for 4 yards (tackle by Xavien Howard and Lawrence Timmons),2.640,2.480
1,8:25,3,4,MIA 34,0,6,"Joe Flacco pass complete deep right to Jeremy Maclin for 34 yards, touchdown. Penalty on Rey Maualuga: Defensive 12 On-field (Declined)",2.480,7.000
1,8:19,,,MIA 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,8:19,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,8:19,1,10,MIA 25,0,7,Matt Moore pass incomplete deep left intended for Jarvis Landry,0.610,0.060
1,8:13,2,10,MIA 25,0,7,Jay Ajayi left guard for -2 yards (tackle by Terrell Suggs),0.060,0.000
1,7:36,,,,,,Timeout #1 by Baltimore Ravens,0.000,0.890
1,7:36,3,12,MIA 23,0,7,Matt Moore pass incomplete short middle intended for Kenny Stills,-0.890,-1.830
1,7:33,4,12,MIA 23,0,7,"Matt Haack punts 49 yards, fair catch by Griff Whalen",-1.830,-0.810
1,7:25,1,10,BAL 28,0,7,Joe Flacco pass complete short middle to Alex Collins for 3 yards (tackle by Lawrence Timmons),0.810,0.670
1,6:50,2,7,BAL 31,0,7,Alex Collins left end for 5 yards (tackle by Lawrence Timmons),0.670,0.630
1,6:12,3,2,BAL 36,0,7,Joe Flacco pass complete short right to Patrick Ricard for 1 yard (tackle by Kiko Alonso),0.630,-0.910
1,5:33,4,1,BAL 37,0,7,"Sam Koch punts 47 yards, out of bounds",-0.910,0.140
1,5:23,1,10,MIA 16,0,7,Jay Ajayi left guard for 4 yards (tackle by Patrick Onwuasor),-0.140,0.010
1,4:42,2,6,MIA 20,0,7,Jay Ajayi left tackle for 1 yard (tackle by Chris Wormley),0.010,-0.700
1,3:59,3,5,MIA 21,0,7,Matt Moore pass complete deep right to Kenny Stills for 20 yards (tackle by Marlon Humphrey),-0.700,1.660
1,3:20,1,10,MIA 41,0,7,Matt Moore pass complete short left to Jarvis Landry for -4 yards (tackle by Matt Judon),1.660,0.580
1,2:36,2,14,MIA 37,0,7,Jay Ajayi left guard for 5 yards (tackle by Lardarius Webb),0.580,0.560
1,1:54,3,9,MIA 42,0,7,Matt Moore sacked by Anthony Levine for -8 yards,0.560,-1.110
1,1:15,4,17,MIA 34,0,7,"Matt Haack punts 38 yards, fair catch by Lardarius Webb",-1.110,-0.810
1,1:07,1,10,BAL 28,0,7,Alex Collins right guard for 19 yards (tackle by Cordrea Tankersley),0.810,2.060
1,0:29,1,10,BAL 47,0,7,Alex Collins right guard for 6 yards (tackle by Cameron Wake and Terrence Fede),2.060,2.330
Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,MIA 47,0,7,Javorius Allen right guard for 9 yards (tackle by Kiko Alonso and Reshad Jones),2.330,3.050
2,14:37,1,10,MIA 38,0,7,Javorius Allen right guard for -1 yards (tackle by William Hayes),3.050,2.370
2,14:04,2,11,MIA 39,0,7,Joe Flacco pass complete short right to Javorius Allen for 2 yards (tackle by Xavien Howard),2.370,1.950
2,13:27,3,9,MIA 37,0,7,Joe Flacco pass incomplete short right intended for Javorius Allen,1.950,0.790
2,13:21,4,9,MIA 37,0,10,Justin Tucker 55 yard field goal good,0.790,3.000
2,13:16,,,BAL 35,0,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,13:16,1,10,MIA 25,0,10,Jay Ajayi left guard for 1 yard (tackle by Carl Davis),0.610,0.200
2,12:42,2,9,MIA 26,0,10,Matt Moore pass complete short middle to Julius Thomas for 3 yards (tackle by Lardarius Webb),0.200,-0.100
2,12:04,3,6,MIA 29,0,10,Matt Moore pass incomplete short left intended for Damien Williams,-0.100,-1.440
2,11:59,4,6,MIA 29,0,10,"Matt Haack punts 31 yards, out of bounds",-1.440,-1.600
2,11:50,1,10,BAL 40,0,10,Joe Flacco pass complete short right to Nick Boyle for 6 yards (tackle by Lawrence Timmons),1.600,1.860
2,11:19,2,4,BAL 46,0,10,Joe Flacco pass complete short middle to Nick Boyle for 5 yards (tackle by Jordan Phillips),1.860,2.320
2,10:41,1,10,MIA 49,0,10,Alex Collins left tackle for 1 yard (tackle by Kiko Alonso),2.320,1.920
2,10:02,2,9,MIA 48,0,10,Alex Collins right guard for 13 yards (tackle by Reshad Jones),1.920,3.250
2,9:28,1,10,MIA 35,0,10,Javorius Allen middle for 4 yards (tackle by Rey Maualuga),3.250,3.240
2,8:53,2,6,MIA 31,0,10,Joe Flacco pass incomplete short left intended for Javorius Allen (defended by Cordrea Tankersley),3.240,2.540
2,8:49,3,6,MIA 31,0,10,"Penalty on Ronnie Stanley: False Start, 5 yards (no play)",2.540,1.880
2,8:49,3,11,MIA 36,0,10,Javorius Allen left guard for 6 yards (tackle by Kiko Alonso),1.880,1.450
2,8:07,4,5,MIA 30,0,13,Justin Tucker 48 yard field goal good,1.450,3.000
2,8:02,,,BAL 35,0,13,"Justin Tucker kicks off 64 yards, returned by Kenyan Drake for 15 yards (tackle by Tyus Bowser)",0.000,0.140
2,7:56,1,10,MIA 16,0,13,Matt Moore pass incomplete short left intended for Jarvis Landry,-0.140,-0.660
2,7:52,2,10,MIA 16,0,13,Matt Moore pass complete short right to Leonte Carroo for 11 yards (tackle by Lardarius Webb),-0.660,0.740
2,7:11,1,10,MIA 27,0,13,Jay Ajayi middle for no gain (tackle by Michael Pierce),0.740,0.200
2,6:33,2,10,MIA 27,0,13,Matt Moore pass complete short middle to Leonte Carroo for 14 yards (tackle by Brandon Carr),0.200,1.660
2,5:52,1,10,MIA 41,0,13,Matt Moore pass complete deep right to Kenny Stills for 28 yards (tackle by Brandon Carr). Penalty on Brandon Carr: Defensive Pass Interference (Declined),1.660,3.510
2,5:34,1,10,BAL 31,0,13,Matt Moore pass incomplete deep left intended for Kenny Stills (defended by Jimmy Smith),3.510,2.970
2,5:28,2,10,BAL 31,0,13,Matt Moore pass incomplete short right intended for Jarvis Landry,2.970,2.280
2,5:25,3,10,BAL 31,0,13,Matt Moore pass complete short right to Damien Williams for -1 yards (tackle by C.J. Mosley),2.280,1.240
2,5:05,4,11,BAL 32,0,13,Cody Parkey 50 yard field goal no good,1.240,-1.600
2,5:00,1,10,BAL 40,0,13,Joe Flacco pass complete short middle to Jeremy Maclin for 13 yards (tackle by Reshad Jones),1.600,2.460
2,4:41,1,10,MIA 47,0,13,Joe Flacco pass complete short left to Alex Collins for 27 yards (tackle by Kiko Alonso),2.460,4.240
2,3:59,1,10,MIA 20,0,13,Joe Flacco pass incomplete short right intended for Ben Watson (defended by Michael Thomas),4.240,3.690
2,3:54,2,10,MIA 20,0,13,Javorius Allen middle for no gain (tackle by Davon Godchaux and Ndamukong Suh),3.690,3.010
2,3:14,3,10,MIA 20,0,13,"Joe Flacco right end for 9 yards (tackle by Kiko Alonso). Penalty on Kiko Alonso: Unnecessary Roughness, 6 yards",3.010,6.060
2,2:50,1,5,MIA 5,0,13,Alex Collins left end for 4 yards (tackle by Chase Allen),6.060,5.910
2,2:20,2,1,MIA 1,0,13,Javorius Allen right guard for -1 yards (tackle by Rey Maualuga),5.910,4.950
2,2:00,3,2,MIA 2,0,19,"Ryan Mallett pass complete short right to Ben Watson for 2 yards, touchdown",4.950,7.000
2,1:56,,,MIA 15,0,20,Justin Tucker kicks extra point good,0.000,0.000
2,1:56,,,BAL 35,0,20,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,1:56,1,10,MIA 25,0,20,Jay Ajayi right guard for -1 yards (tackle by Matt Judon),0.610,-0.070
2,1:22,2,11,MIA 24,0,20,Matt Moore pass incomplete deep right intended for Jarvis Landry,-0.070,-0.760
2,1:18,3,11,MIA 24,0,20,Matt Moore pass complete short middle to Leonte Carroo for 6 yards (tackle by Marlon Humphrey),-0.760,0.000
2,1:12,,,,,,Timeout #2 by Baltimore Ravens,0.000,1.370
2,1:12,4,5,MIA 30,0,20,"Matt Haack punts 41 yards, returned by Lardarius Webb for no gain",-1.370,-0.870
2,1:05,1,10,BAL 29,0,20,Alex Collins left guard for no gain (tackle by Lawrence Timmons),0.870,0.000
2,0:53,,,,,,Timeout #1 by Miami Dolphins,0.000,-0.330
2,0:53,2,10,BAL 29,0,20,"Ryan Mallett pass complete short middle to Bobby Rainey for 23 yards (tackle by Cordrea Tankersley). Penalty on Ronnie Stanley: Illegal Formation, 5 yards (no play)",0.330,-0.350
2,0:43,2,15,BAL 24,0,20,Javorius Allen right guard for 6 yards (tackle by Cameron Wake and Lawrence Timmons),-0.350,0.000
2,0:38,,,,,,Timeout #2 by Miami Dolphins,0.000,0.230
