Unnamed: 0,PIT,CLE
First Downs,17,13
Rush-Yds-TDs,42-206-0,16-46-0
Cmp-Att-Yd-TD-INT,12-23-161-4-0,17-38-218-1-2
Sacked-Yards,1-2,6-43
Net Pass Yards,159,175
Total Yards,365,221
Fumbles-Lost,2-1,4-3
Turnovers,1,5
Penalties-Yards,6-45,6-51
Third Down Conv.,7-17,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,36:16,23:44
