Quarter,Time,Tm,Detail,BAL,MIN
1.0,11:25,Vikings,Visanthe Shiancoe 19 yard pass from Brett Favre (Ryan Longwell kick),0,7
,6:16,Vikings,Bernard Berrian 4 yard pass from Brett Favre (Ryan Longwell kick),0,14
2.0,0:02,Ravens,Stephen Hauschka 29 yard field goal,3,14
3.0,7:16,Vikings,Ryan Longwell 40 yard field goal,3,17
,4:13,Ravens,Ray Rice 22 yard rush (Stephen Hauschka kick),10,17
,2:05,Vikings,Ryan Longwell 22 yard field goal,10,20
4.0,10:08,Vikings,Visanthe Shiancoe 1 yard pass from Brett Favre (Ryan Longwell kick),10,27
,8:35,Ravens,Mark Clayton 32 yard pass from Joe Flacco (Stephen Hauschka kick),17,27
,6:01,Vikings,Ryan Longwell 29 yard field goal,17,30
,5:12,Ravens,Derrick Mason 12 yard pass from Joe Flacco (Stephen Hauschka kick),24,30
,3:37,Ravens,Ray Rice 33 yard rush (Stephen Hauschka kick),31,30
,1:56,Vikings,Ryan Longwell 31 yard field goal,31,33
