Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Steven Hauschka kicks off 63 yards, returned by Percy Harvin for 32 yards (tackle by Chris Carr)",0.000,1.530
1,14:55,1,10,MIN 39,0,0,Brett Favre pass complete short right to Jim Kleinsasser for 3 yards (tackle by Ed Reed),1.530,1.390
1,14:12,2,7,MIN 42,0,0,Adrian Peterson middle for 26 yards (tackle by Ed Reed),1.390,3.450
1,13:32,1,10,BAL 32,0,0,Adrian Peterson middle for 2 yards (tackle by Dwan Edwards and Kelly Gregg),3.450,3.170
1,12:49,2,8,BAL 30,0,0,Brett Favre pass complete short middle to Sidney Rice for 14 yards (tackle by Fabian Washington),3.170,4.510
1,12:14,1,10,BAL 16,0,0,Chester Taylor right end for -3 yards (tackle by Terrell Suggs),4.510,3.520
1,11:31,2,13,BAL 19,0,6,"Brett Favre pass complete deep right to Visanthe Shiancoe for 19 yards, touchdown. Penalty on Kelly Gregg: Defensive Offside (Declined)",3.520,7.000
1,,,,BAL 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Ryan Longwell kicks off 65 yards, returned by Lardarius Webb for 18 yards (tackle by Jasper Brinkley)",0.000,0.480
1,11:21,1,10,BAL 23,0,7,Ray Rice right tackle for 1 yard (tackle by Ray Edwards),0.480,0.070
1,10:51,2,9,BAL 24,0,7,Ray Rice right guard for 3 yards (tackle by Pat Williams),0.070,-0.230
1,10:15,3,6,BAL 27,0,7,Joe Flacco sacked by Kevin Williams for -8 yards,-0.230,-2.140
1,9:48,4,14,BAL 19,0,7,"Sam Koch punts 49 yards, returned by Jaymar Johnson for 13 yards (tackle by Dannell Ellerbe)",-2.140,-1.930
1,9:37,1,10,MIN 45,0,7,"Penalty on Anthony Herrera: False Start, 5 yards (no play)",1.930,1.600
1,9:37,1,15,MIN 40,0,7,Brett Favre pass complete short left to Visanthe Shiancoe for 21 yards (tackle by Ed Reed),1.600,2.980
1,9:01,1,10,BAL 39,0,7,Brett Favre pass complete short right to Adrian Peterson for 9 yards (tackle by Terrell Suggs),2.980,3.660
1,8:21,2,1,BAL 30,0,7,Adrian Peterson middle for 4 yards (tackle by Ray Lewis),3.660,3.840
1,7:42,1,10,BAL 26,0,7,Brett Favre pass incomplete deep right intended for Bernard Berrian,3.840,3.300
1,7:36,2,10,BAL 26,0,7,Adrian Peterson right end for 3 yards (tackle by Ray Lewis),3.300,3.010
1,6:50,3,7,BAL 23,0,7,Brett Favre pass complete short middle to Sidney Rice for 19 yards (tackle by Fabian Washington),3.010,6.280
1,6:20,,,,0,7,Timeout #1 by Minnesota Vikings,0.000,6.280
1,6:20,1,4,BAL 4,0,13,"Brett Favre pass complete short right to Bernard Berrian for 4 yards, touchdown",6.280,7.000
1,,,,BAL 2,0,14,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,14,"Ryan Longwell kicks off 67 yards, returned by Lardarius Webb for 20 yards (tackle by Cedric Griffin). Penalty on L.J. Smith: Offensive Holding, 10 yards",0.000,-0.320
1,6:08,1,10,BAL 13,0,14,Le'Ron McClain left end for 1 yard (tackle by Cedric Griffin and Jared Allen),-0.320,-0.680
1,5:33,2,9,BAL 14,0,14,Joe Flacco pass incomplete deep left intended for Derrick Mason,-0.680,-1.300
1,5:26,3,9,BAL 14,0,14,Joe Flacco pass incomplete deep left intended for Mark Clayton,-1.300,-2.470
1,5:21,4,9,BAL 14,0,14,"Sam Koch punts 51 yards, returned by Jaymar Johnson for 8 yards (tackle by Matt Lawrence)",-2.470,-1.800
1,5:10,1,10,MIN 43,0,14,Brett Favre sacked by Trevor Pryce for -9 yards,1.800,0.040
1,4:32,2,19,MIN 34,0,14,Brett Favre pass complete short middle to Adrian Peterson for 6 yards (tackle by Tavares Gooden),0.040,0.170
1,3:47,3,13,MIN 40,0,14,Brett Favre pass incomplete short left intended for Bernard Berrian (defended by Domonique Foxworth),0.170,-0.720
1,3:42,4,13,MIN 40,0,14,Chris Kluwe punts 52 yards,-0.720,0.380
1,3:28,1,10,BAL 8,0,14,Willis McGahee left guard for 1 yard (tackle by E.J. Henderson and Pat Williams),-0.380,-0.710
1,2:45,2,9,BAL 9,0,14,Joe Flacco pass complete deep left to Mark Clayton for 17 yards (tackle by Cedric Griffin),-0.710,0.670
1,2:18,1,10,BAL 26,0,14,"Penalty on Michael Oher: False Start, 5 yards (no play)",0.670,0.340
1,1:52,1,15,BAL 21,0,14,Willis McGahee middle for 5 yards (tackle by Cedric Griffin),0.340,0.130
1,1:14,2,10,BAL 26,0,14,Joe Flacco pass complete short left to Le'Ron McClain for -2 yards (tackle by Cedric Griffin),0.130,-0.820
1,0:28,3,12,BAL 24,0,14,Joe Flacco pass complete short middle to Derrick Mason for 7 yards (tackle by Chad Greenway),-0.820,-1.310
Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,BAL 31,0,14,"Sam Koch punts 47 yards, returned by Jaymar Johnson for 2 yards (tackle by Prescott Burgess)",-1.310,-0.540
2,14:49,1,10,MIN 24,0,14,Adrian Peterson right guard for 2 yards (tackle by Tavares Gooden and Haloti Ngata),0.540,0.270
2,14:04,2,8,MIN 26,0,14,Adrian Peterson middle for 1 yard (tackle by Brandon McKinney),0.270,-0.300
