Unnamed: 0,BAL,MIN
First Downs,20,19
Rush-Yds-TDs,18-81-2,31-167-0
Cmp-Att-Yd-TD-INT,28-43-385-2-0,21-29-278-3-0
Sacked-Yards,3-18,3-19
Net Pass Yards,367,259
Total Yards,448,426
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-74,3-15
Third Down Conv.,5-13,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,25:15,34:45
