Unnamed: 0,DAL,PHI
First Downs,23,23
Rush-Yds-TDs,28-171-2,16-71-0
Cmp-Att-Yd-TD-INT,26-36-270-1-0,32-44-360-2-1
Sacked-Yards,4-31,2-10
Net Pass Yards,239,350
Total Yards,410,421
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,5-37,0-0
Third Down Conv.,8-16,4-10
Fourth Down Conv.,1-1,0-2
Time of Possession,33:22,26:38
