Quarter,Time,Tm,Detail,DAL,PHI
1.0,6:59,Cowboys,Brett Maher 25 yard field goal,3,0
2.0,3:41,Cowboys,Brett Maher 31 yard field goal,6,0
,1:33,Eagles,Jake Elliott 56 yard field goal,6,3
,0:19,Cowboys,Dak Prescott 1 yard rush (Brett Maher kick),13,3
3.0,9:36,Eagles,Jake Elliott 26 yard field goal,13,6
,2:08,Eagles,Zach Ertz 15 yard pass from Carson Wentz (Jake Elliott kick),13,13
4.0,11:42,Cowboys,Ezekiel Elliott 7 yard pass from Dak Prescott (Brett Maher kick),20,13
,7:27,Eagles,Zach Ertz 1 yard pass from Carson Wentz (Jake Elliott kick),20,20
,3:19,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),27,20
