Unnamed: 0,KAN,CLE
First Downs,16,13
Rush-Yds-TDs,39-140-0,26-73-1
Cmp-Att-Yd-TD-INT,16-28-176-0-2,16-31-229-1-1
Sacked-Yards,1-4,1-3
Net Pass Yards,172,226
Total Yards,312,299
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,4-30,9-78
Third Down Conv.,5-15,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,33:13,26:47
