Quarter,Time,Tm,Detail,KAN,CLE
1.0,8:43,Chiefs,Ryan Succop 35 yard field goal,3,0
2.0,12:31,Browns,Peyton Hillis 1 yard rush (Phil Dawson kick),3,7
,10:02,Chiefs,Brandon Flowers 33 yard interception return (Ryan Succop kick),10,7
,8:43,Browns,Josh Cribbs 65 yard pass from Seneca Wallace (Phil Dawson kick),10,14
3.0,8:45,Chiefs,Ryan Succop 26 yard field goal,13,14
4.0,7:41,Chiefs,Ryan Succop 23 yard field goal,16,14
