Quarter,Time,Tm,Detail,BAL,PIT
1.0,14:17,Steelers,Byron Leftwich 31 yard rush (Shaun Suisham kick),0,7
,8:22,Ravens,Justin Tucker 26 yard field goal,3,7
,3:16,Ravens,Jacoby Jones 63 yard punt return (Justin Tucker kick),10,7
3.0,6:49,Ravens,Justin Tucker 39 yard field goal,13,7
,0:34,Steelers,Shaun Suisham 22 yard field goal,13,10
