Unnamed: 0,BAL,PIT
First Downs,12,17
Rush-Yds-TDs,23-47-0,27-134-1
Cmp-Att-Yd-TD-INT,20-32-164-0-0,18-39-199-0-1
Sacked-Yards,2-11,3-24
Net Pass Yards,153,175
Total Yards,200,309
Fumbles-Lost,2-0,3-2
Turnovers,0,3
Penalties-Yards,4-68,6-43
Third Down Conv.,3-14,5-17
Fourth Down Conv.,0-0,0-1
Time of Possession,27:09,32:51
