Quarter,Time,Tm,Detail,CAR,PHI
1.0,11:12,Eagles,Alex Henery 36 yard field goal,0,3
,6:12,Panthers,Gary Barnidge 24 yard pass from Cam Newton (Graham Gano kick),7,3
,3:36,Panthers,Brandon LaFell 43 yard pass from Cam Newton (Graham Gano kick),14,3
2.0,14:15,Eagles,Alex Henery 41 yard field goal,14,6
,10:56,Eagles,Bryce Brown 65 yard rush (pass failed),14,12
,3:20,Eagles,Alex Henery 45 yard field goal,14,15
3.0,9:13,Panthers,Cam Newton 1 yard rush (Graham Gano kick),21,15
,3:30,Eagles,Bryce Brown 5 yard rush (Alex Henery kick),21,22
4.0,12:40,Panthers,Graham Gano 23 yard field goal,24,22
,4:40,Panthers,Cam Newton 2 yard rush (Graham Gano kick failed),30,22
