Unnamed: 0,CAR,PHI
First Downs,24,18
Rush-Yds-TDs,35-109-2,26-204-2
Cmp-Att-Yd-TD-INT,18-28-306-2-0,16-21-119-0-0
Sacked-Yards,2-17,1-12
Net Pass Yards,289,107
Total Yards,398,311
Fumbles-Lost,0-0,4-3
Turnovers,0,3
Penalties-Yards,6-101,5-30
Third Down Conv.,6-12,2-8
Fourth Down Conv.,0-0,0-1
Time of Possession,35:12,24:48
