Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brad Johnson,TAM,22,36,309,2,1,2,12,54,95.7,3,13,0,7,0,0,0,0,,1,0
Mike Alstott,TAM,0,0,0,0,0,,,,,12,65,0,32,5,4,30,0,17,0,
Charlie Garner,TAM,0,0,0,0,0,,,,,6,11,0,8,2,2,34,0,31,0,
Jamel White,TAM,0,0,0,0,0,,,,,1,3,0,3,3,1,12,0,12,0,
Bill Schroeder,TAM,0,0,0,0,0,,,,,0,0,0,,6,4,126,1,54,0,
Tim Brown,TAM,0,0,0,0,0,,,,,0,0,0,,4,4,41,1,16,0,
Michael Clayton,TAM,0,0,0,0,0,,,,,0,0,0,,6,2,35,0,26,0,
Ken Dilger,TAM,0,0,0,0,0,,,,,0,0,0,,3,2,14,0,11,0,
Charles Lee,TAM,0,0,0,0,0,,,,,0,0,0,,1,1,11,0,11,0,
Cosey Coleman,TAM,0,0,0,0,0,,,,,0,0,0,,1,1,4,0,4,0,
Dave Moore,TAM,0,0,0,0,0,,,,,0,0,0,,2,1,2,0,2,0,
Rickey Dudley,TAM,,,,,,,,,,,,,,1,0,0,0,,0,
Jameel Cook,TAM,,,,,,,,,,,,,,1,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kerry Collins,OAK,16,27,228,1,1,1,12,30,83.6,0,0,0,,0,0,0,0,,0,
Rich Gannon,OAK,2,4,10,0,0,0,0,9,56.2,1,2,0,2,0,0,0,0,,0,
Tyrone Wheatley,OAK,0,0,0,0,0,,,,,18,102,1,60,1,1,3,0,3,0,
Amos Zereoue,OAK,0,0,0,0,0,,,,,6,41,0,17,1,1,9,0,9,0,
Justin Fargas,OAK,0,0,0,0,0,,,,,6,28,0,15,0,0,0,0,,0,
Jerry Porter,OAK,0,0,0,0,0,,,,,0,0,0,,10,5,84,0,27,0,
Alvis Whitted,OAK,0,0,0,0,0,,,,,0,0,0,,2,2,35,0,20,0,
Doug Gabriel,OAK,0,0,0,0,0,,,,,0,0,0,,3,1,30,0,30,1,1
Jerry Rice,OAK,0,0,0,0,0,,,,,0,0,0,,4,2,27,0,18,0,
Ronald Curry,OAK,0,0,0,0,0,,,,,0,0,0,,1,1,19,1,19,0,
J.R. Redmond,OAK,0,0,0,0,0,,,,,0,0,0,,2,2,18,0,12,0,
Courtney Anderson,OAK,0,0,0,0,0,,,,,0,0,0,,3,1,8,0,8,0,
Doug Jolley,OAK,0,0,0,0,0,,,,,0,0,0,,1,1,4,0,4,0,
Zack Crockett,OAK,0,0,0,0,0,,,,,0,0,0,,2,1,1,0,1,0,
