Unnamed: 0,SFO,STL
First Downs,19,16
Rush-Yds-TDs,36-193-0,14-35-0
Cmp-Att-Yd-TD-INT,16-24-154-2-0,24-40-252-3-2
Sacked-Yards,3-18,3-24
Net Pass Yards,136,228
Total Yards,329,263
Fumbles-Lost,5-2,1-0
Turnovers,2,2
Penalties-Yards,6-48,5-33
Third Down Conv.,6-14,2-12
Fourth Down Conv.,0-0,2-2
Time of Possession,35:37,24:23
