Unnamed: 0,GNB,DET
First Downs,25,17
Rush-Yds-TDs,30-120-0,25-171-1
Cmp-Att-Yd-TD-INT,27-55-323-2-1,13-30-141-1-1
Sacked-Yards,1-11,1-7
Net Pass Yards,312,134
Total Yards,432,305
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,9-97,4-50
Third Down Conv.,8-20,3-12
Fourth Down Conv.,2-2,1-1
Time of Possession,34:56,25:04
