Quarter,Time,Tm,Detail,GNB,DET
1.0,7:59,Lions,David Blough 19 yard pass from Danny Amendola (Matt Prater kick),0,7
2.0,3:13,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),0,14
,0:20,Packers,Mason Crosby 32 yard field goal,3,14
,0:00,Lions,Matt Prater 42 yard field goal,3,17
3.0,3:10,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),10,17
4.0,12:07,Packers,Mason Crosby 40 yard field goal,13,17
,11:08,Lions,Matt Prater 56 yard field goal,13,20
,5:19,Packers,Allen Lazard 28 yard pass from Aaron Rodgers (Mason Crosby kick),20,20
,0:00,Packers,Mason Crosby 33 yard field goal,23,20
