Unnamed: 0,BUF,CIN
First Downs,20,23
Rush-Yds-TDs,34-183-1,27-93-1
Cmp-Att-Yd-TD-INT,19-27-166-0-1,24-43-207-1-2
Sacked-Yards,2-7,1-0
Net Pass Yards,159,207
Total Yards,342,300
Fumbles-Lost,1-0,2-0
Turnovers,1,2
Penalties-Yards,9-75,4-25
Third Down Conv.,3-12,8-15
Fourth Down Conv.,1-1,0-0
Time of Possession,32:11,27:49
