Quarter,Time,Tm,Detail,BUF,CIN
1.0,8:52,Bills,LeSean McCoy 7 yard rush (Dan Carpenter kick),7,0
,2:34,Bengals,Andy Dalton 2 yard rush (Mike Nugent kick failed),7,6
2.0,9:03,Bills,Dan Carpenter 26 yard field goal,10,6
,3:10,Bengals,Tyler Boyd 1 yard pass from Andy Dalton (Mike Nugent kick failed),10,12
3.0,10:25,Bills,Dan Carpenter 54 yard field goal,13,12
4.0,12:05,Bills,Dan Carpenter 20 yard field goal,16,12
