Unnamed: 0,OAK,SDG
First Downs,18,18
Rush-Yds-TDs,24-43-0,32-206-4
Cmp-Att-Yd-TD-INT,24-37-229-1-2,14-21-156-0-1
Sacked-Yards,5-27,0-0
Net Pass Yards,202,156
Total Yards,245,362
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,8-68,6-40
Third Down Conv.,5-14,6-12
Fourth Down Conv.,2-3,0-0
Time of Possession,31:12,28:48
