Unnamed: 0,DAL,NYG
First Downs,27,15
Rush-Yds-TDs,23-45-0,23-100-1
Cmp-Att-Yd-TD-INT,41-55-392-3-0,11-25-241-2-1
Sacked-Yards,2-13,1-4
Net Pass Yards,379,237
Total Yards,424,337
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,5-30,2-10
Third Down Conv.,9-17,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,38:50,21:10
