Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Robinson,JAX,17,75,0,4,42,2.5,33,1.9,2,8.5
Gardner Minshew II,JAX,2,9,0,0,7,3.5,2,1.0,0,
Laviska Shenault Jr.,JAX,1,5,0,0,0,0.0,5,5.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,25,151,2,8,92,3.7,59,2.4,0,
Joe Burrow,CIN,4,11,0,1,9,2.3,2,0.5,1,4.0
Giovani Bernard,CIN,2,19,0,2,14,7.0,5,2.5,0,
Tyler Boyd,CIN,1,4,0,0,3,3.0,1,1.0,0,
Alex Erickson,CIN,1,7,0,,3,3.0,4,4.0,0,
Tee Higgins,CIN,1,13,0,1,13,13.0,0,0.0,0,
