Quarter,Time,Tm,Detail,JAX,CIN
1.0,2:41,Bengals,Randy Bullock 35 yard field goal,0,3
,0:21,Jaguars,DJ Chark 11 yard pass from Gardner Minshew II (Aldrick Rosas kick),7,3
2.0,3:45,Jaguars,Aldrick Rosas 32 yard field goal,10,3
,0:56,Bengals,Joe Mixon 9 yard pass from Joe Burrow (Randy Bullock kick),10,10
,0:03,Jaguars,Aldrick Rosas 20 yard field goal,13,10
3.0,12:29,Bengals,Joe Mixon 34 yard rush (Randy Bullock kick),13,17
,8:28,Bengals,Joe Mixon 23 yard rush (Randy Bullock kick),13,24
,3:29,Bengals,Randy Bullock 40 yard field goal,13,27
4.0,14:33,Jaguars,Aldrick Rosas 50 yard field goal,16,27
,9:20,Bengals,Randy Bullock 46 yard field goal,16,30
,6:14,Jaguars,DJ Chark 2 yard pass from Gardner Minshew II (pass failed),22,30
,1:46,Bengals,Randy Bullock 30 yard field goal,22,33
,0:08,Jaguars,Aldrick Rosas 30 yard field goal,25,33
