Unnamed: 0,CAR,SFO
First Downs,20,13
Rush-Yds-TDs,38-116-0,15-51-0
Cmp-Att-Yd-TD-INT,14-25-171-2-1,24-35-193-0-1
Sacked-Yards,0-0,4-27
Net Pass Yards,171,166
Total Yards,287,217
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,5-40,10-74
Third Down Conv.,7-13,2-11
Fourth Down Conv.,0-0,1-4
Time of Possession,34:21,25:39
