Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
1,6:16,,,,,,Timeout #1 by Carolina Panthers,0.000,0.920
1,6:16,3,6,CAR 18,0,0,Cam Newton pass incomplete short left intended for Kelvin Benjamin (defended by Reuben Foster),-0.920,-2.240
1,6:13,4,6,CAR 18,0,0,"Michael Palardy punts 58 yards, fair catch by Trent Taylor",-2.240,-0.540
1,6:04,1,10,SFO 24,0,0,Carlos Hyde middle for 12 yards (tackle by Mike Adams),0.540,1.330
1,5:28,1,10,SFO 36,0,0,Brian Hoyer pass complete short right to Pierre Garcon for 12 yards (tackle by Daryl Worley),1.330,2.130
1,5:04,1,10,SFO 48,0,0,Carlos Hyde left guard for 2 yards (tackle by Kyle Love),2.130,1.850
1,4:42,2,8,,0,0,"Brian Hoyer sacked by Wes Horton for -8 yards. Brian Hoyer fumbles (forced by Wes Horton), recovered by Star Lotulelei at SFO-42 (tackle by Daniel Kilgore)",1.850,-2.790
1,4:35,1,10,SFO 42,0,0,Cam Newton pass complete short left to Christian McCaffrey for -3 yards (tackle by Reuben Foster),2.790,1.840
1,3:47,2,13,SFO 45,0,0,Christian McCaffrey left end for 5 yards (tackle by Reuben Foster),1.840,1.820
1,3:10,3,8,SFO 40,6,0,"Cam Newton pass complete deep left to Russell Shepard for 40 yards, touchdown",1.820,7.000
1,3:00,,,SFO 15,7,0,Graham Gano kicks extra point good,0.000,0.000
1,3:00,,,CAR 35,7,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,3:00,1,10,SFO 25,7,0,Carlos Hyde left end for 18 yards (tackle by Kurt Coleman),0.610,1.800
1,2:26,1,10,SFO 43,7,0,Carlos Hyde left tackle for 1 yard (tackle by Kawann Short and Luke Kuechly),1.800,1.390
1,2:01,2,9,SFO 44,7,0,Brian Hoyer sacked by Shaq Thompson for -7 yards,1.390,-0.230
1,1:24,3,16,SFO 37,7,0,"Penalty on Trenton Brown: False Start, 5 yards (no play)",-0.230,-0.890
1,1:03,3,21,SFO 32,7,0,Brian Hoyer pass incomplete short right intended for Pierre Garcon (defended by Daryl Worley),-0.890,-1.240
1,0:58,4,21,SFO 32,7,0,"Bradley Pinion punts 40 yards, returned by Christian McCaffrey for 4 yards (tackle by Raheem Mostert). Penalty on Jeremy Cash: Illegal Block Above the Waist, 10 yards",-1.240,-0.410
1,0:45,1,10,CAR 22,7,0,Cam Newton pass complete short right to Devin Funchess for 4 yards (tackle by NaVorro Bowman),0.410,0.410
Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CAR 26,7,0,Jonathan Stewart right tackle for 3 yards (tackle by Ray-Ray Armstrong),0.410,0.100
2,14:19,3,3,CAR 29,7,0,Cam Newton pass incomplete short middle intended for Kelvin Benjamin,0.100,-1.440
2,14:15,4,3,CAR 29,7,0,"Michael Palardy punts 44 yards, out of bounds",-1.440,-0.740
2,14:07,1,10,SFO 27,7,0,Brian Hoyer pass incomplete deep left intended for Marquise Goodwin,0.740,0.200
2,14:00,2,10,SFO 27,7,0,"Carlos Hyde left tackle for no gain (tackle by Wes Horton). Penalty on SFO: Illegal Formation (Declined), Penalty on Daniel Kilgore: Offensive Holding, 10 yards (no play)",0.200,-1.290
2,13:44,2,20,SFO 17,7,0,Brian Hoyer sacked by Star Lotulelei and Julius Peppers for -4 yards,-1.290,-2.970
2,13:01,3,24,SFO 13,7,0,Matt Breida middle for 3 yards (tackle by Thomas Davis),-2.970,-2.390
2,12:26,4,21,SFO 16,7,0,"Bradley Pinion punts 49 yards, returned by Christian McCaffrey for 21 yards (tackle by Brock Coyle). Penalty on Ben Jacobs: Offensive Holding, 10 yards",-2.390,-0.610
2,12:14,1,10,CAR 25,7,0,Christian McCaffrey left end for 5 yards (tackle by Rashard Robinson),0.610,0.740
2,11:40,2,5,CAR 30,7,0,"Cam Newton pass incomplete deep left intended for Greg Olsen. Penalty on Jaquiski Tartt: Unnecessary Roughness, 15 yards (no play)",0.740,1.930
2,11:35,1,10,CAR 45,7,0,Christian McCaffrey left end for 3 yards (tackle by Earl Mitchell),1.930,1.790
2,10:55,2,7,CAR 48,7,0,"Cam Newton pass complete short middle to Ed Dickson for 4 yards (tackle by Ray-Ray Armstrong). Penalty on Solomon Thomas: Defensive Offside, 5 yards (no play)",1.790,2.460
2,10:28,2,2,SFO 47,7,0,Jonathan Stewart middle for 2 yards (tackle by DeForest Buckner),2.460,2.590
2,10:03,1,10,SFO 45,7,0,Cam Newton pass incomplete deep left intended for Kelvin Benjamin is intercepted by Jaquiski Tartt at SFO-1 and returned for 37 yards,2.590,-1.470
2,9:46,1,10,SFO 38,7,0,Carlos Hyde right end for 2 yards (tackle by James Bradberry),1.470,1.190
2,9:12,2,8,SFO 40,7,0,Brian Hoyer pass complete short right to Carlos Hyde for 4 yards (tackle by Kurt Coleman),1.190,1.020
2,8:36,3,4,SFO 44,7,0,Brian Hoyer pass complete short right to Marquise Goodwin for 6 yards (tackle by Luke Kuechly),1.020,2.260
2,8:00,1,10,,7,0,Matt Breida left guard for 5 yards (tackle by Mario Addison),2.260,2.390
2,7:24,2,5,CAR 45,7,0,Brian Hoyer pass complete short left to Marquise Goodwin for 1 yard (tackle by Daryl Worley),2.390,1.820
2,7:08,3,4,CAR 44,7,0,Brian Hoyer pass complete short right to George Kittle for no gain,1.820,0.000
2,6:32,,,,,,Timeout #2 by Carolina Panthers,0.000,-0.330
2,6:32,4,4,CAR 44,7,0,Brian Hoyer sacked by Thomas Davis for -8 yards,0.330,-2.390
2,6:27,1,10,SFO 48,7,0,Jonathan Stewart left end for 10 yards (tackle by Dontae Johnson),2.390,3.050
2,5:49,1,10,SFO 38,7,0,Christian McCaffrey left tackle for -2 yards (tackle by Solomon Thomas),3.050,2.240
2,5:13,2,12,SFO 40,7,0,Cam Newton pass incomplete short middle intended for Christian McCaffrey,2.240,0.000
2,5:09,,,,,,Timeout #3 by Carolina Panthers,0.000,-1.550
2,5:09,3,12,SFO 40,7,0,Cam Newton pass complete short right to Christian McCaffrey for 15 yards (tackle by Jaquiski Tartt),1.550,3.910
2,4:26,1,10,SFO 25,7,0,Christian McCaffrey right end for 4 yards (tackle by Ray-Ray Armstrong),3.910,3.900
2,3:38,2,6,SFO 21,7,0,Cam Newton pass incomplete deep right intended for Ed Dickson,3.900,3.200
2,3:32,3,6,SFO 21,7,0,Cam Newton pass incomplete short right intended for Kelvin Benjamin,3.200,2.080
2,3:28,4,6,SFO 21,10,0,Graham Gano 39 yard field goal good,2.080,3.000
2,3:23,,,CAR 35,10,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,3:23,1,10,SFO 25,10,0,Brian Hoyer pass incomplete short left intended for Kyle Juszczyk,0.610,0.060
2,3:18,2,10,SFO 25,10,0,Brian Hoyer pass complete short right to Pierre Garcon for 21 yards (tackle by Mike Adams),0.060,1.990
2,2:42,1,10,SFO 46,10,0,Carlos Hyde left tackle for 1 yard (tackle by Kawann Short),1.990,1.590
2,2:00,2,9,SFO 47,10,0,Brian Hoyer pass complete short left to George Kittle for 6 yards (tackle by Thomas Davis),1.590,1.690
2,1:20,3,3,CAR 47,10,0,Brian Hoyer pass complete short right to Carlos Hyde for 2 yards (tackle by James Bradberry),1.690,0.000
2,0:46,,,,,,Timeout #2 by San Francisco 49ers,0.000,-0.270
2,0:46,4,1,CAR 45,10,0,Kyle Juszczyk middle for no gain (tackle by Star Lotulelei and Wes Horton),0.270,-1.930
2,0:42,1,10,CAR 45,10,0,Cam Newton pass incomplete short right intended for Greg Olsen,1.930,1.380
2,0:36,2,10,CAR 45,10,0,Cam Newton pass incomplete short right intended for Damiere Byrd,1.380,0.700
2,0:32,3,10,CAR 45,10,0,"Penalty on Russell Shepard: False Start, 5 yards (no play)",0.700,0.040
2,0:32,3,15,CAR 40,10,0,Cam Newton pass complete short right to Christian McCaffrey for 16 yards (tackle by Arik Armstead),0.040,2.650
2,0:26,1,10,SFO 44,10,0,Cam Newton pass complete short right to Greg Olsen for 1 yard (tackle by Eric Reid),2.650,2.250
2,0:21,2,9,SFO 43,10,0,Cam Newton pass complete deep left to Kelvin Benjamin for 25 yards (tackle by Eric Reid and Rashard Robinson),2.250,4.370
2,0:06,1,10,SFO 18,10,0,Cam Newton spiked the ball,4.370,3.800
2,0:05,2,10,SFO 18,13,0,Graham Gano 36 yard field goal good,3.800,3.000
Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,13,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,SFO 25,13,0,Brian Hoyer pass complete short right to Marquise Goodwin for 14 yards (tackle by James Bradberry),0.610,1.530
3,14:33,1,10,SFO 39,13,0,Brian Hoyer pass incomplete short middle intended for George Kittle is intercepted by Luke Kuechly at CAR-49 and returned for 23 yards,1.530,-3.710
3,14:25,1,10,SFO 28,13,0,Jonathan Stewart middle for 1 yard (tackle by DeForest Buckner),3.710,3.300
3,13:44,2,9,SFO 27,13,0,Christian McCaffrey left tackle for 5 yards (tackle by NaVorro Bowman),3.300,3.270
3,13:02,3,4,SFO 22,13,0,Cam Newton right end for 5 yards (tackle by Jaquiski Tartt),3.270,4.440
3,12:23,1,10,SFO 17,13,0,Christian McCaffrey left guard for 4 yards (tackle by DeForest Buckner and NaVorro Bowman),4.440,4.500
3,11:36,2,6,SFO 13,13,0,"Cam Newton pass incomplete short right intended for Greg Olsen. Penalty on Ray-Ray Armstrong: Defensive Pass Interference, 4 yards (no play)",4.500,5.140
3,11:32,1,9,SFO 9,19,0,"Cam Newton pass complete short right to Jonathan Stewart for 9 yards, touchdown",5.140,7.000
3,11:24,,,SFO 15,20,0,Graham Gano kicks extra point good,0.000,0.000
3,11:24,,,CAR 35,20,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,11:24,1,10,SFO 25,20,0,Carlos Hyde middle for 1 yard (tackle by Luke Kuechly),0.610,0.200
3,10:52,2,9,SFO 26,20,0,Brian Hoyer pass complete short left to Carlos Hyde for 3 yards (tackle by Thomas Davis),0.200,-0.100
3,10:19,3,6,SFO 29,20,0,Brian Hoyer pass incomplete short middle intended for Pierre Garcon,-0.100,-1.440
3,10:13,4,6,SFO 29,20,0,"Bradley Pinion punts 42 yards, returned by Christian McCaffrey for 3 yards (tackle by Adrian Colbert)",-1.440,-1.070
3,10:04,1,10,CAR 32,20,0,Jonathan Stewart middle for 2 yards (tackle by Ray-Ray Armstrong),1.070,0.800
3,9:21,2,8,CAR 34,20,0,Cam Newton pass complete short right to Devin Funchess for 16 yards (tackle by Jaquiski Tartt),0.800,2.260
3,8:44,1,10,,20,0,Cam Newton pass complete short left to Jonathan Stewart for 8 yards (tackle by D.J. Jones),2.260,0.000
3,8:02,,,,,,Timeout #1 by Carolina Panthers,0.000,-2.790
3,8:02,2,2,SFO 42,20,0,Jonathan Stewart middle for 3 yards (tackle by NaVorro Bowman),2.790,2.980
3,7:16,1,10,SFO 39,20,0,Cam Newton pass complete short right to Russell Shepard for 13 yards,2.980,3.840
3,6:45,1,10,SFO 26,20,0,Christian McCaffrey right guard for 3 yards (tackle by DeForest Buckner),3.840,3.700
3,6:05,2,7,SFO 23,20,0,Cam Newton pass complete deep middle to Greg Olsen for 17 yards (tackle by Jaquiski Tartt),3.700,5.830
3,5:19,1,6,SFO 6,20,0,Cam Newton left end for 1 yard (tackle by Eric Reid),5.830,5.150
3,4:38,2,5,SFO 5,20,0,Jonathan Stewart middle for 3 yards (tackle by Eli Harold),5.150,4.950
3,3:53,3,2,SFO 2,20,0,Jonathan Stewart left end for no gain (tackle by Arik Armstead),4.950,3.250
3,3:14,4,2,SFO 2,23,0,Graham Gano 20 yard field goal good,3.250,3.000
3,3:11,,,CAR 35,23,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,3:11,1,10,SFO 25,23,0,Brian Hoyer pass complete short left to Kyle Juszczyk for 5 yards (tackle by Kurt Coleman),0.610,0.740
3,2:35,2,5,SFO 30,23,0,Brian Hoyer pass complete short right to Pierre Garcon for 11 yards (tackle by James Bradberry and Luke Kuechly),0.740,1.660
3,2:08,1,10,SFO 41,23,0,Brian Hoyer pass incomplete deep left intended for Pierre Garcon,1.660,1.120
3,2:04,2,10,SFO 41,23,0,Brian Hoyer pass complete short left to Aldrick Robinson for 7 yards (tackle by Mario Addison),1.120,1.360
3,1:23,3,3,SFO 48,23,0,Brian Hoyer pass incomplete short right intended for Aldrick Robinson,1.360,-0.190
3,1:19,4,3,SFO 48,23,0,Brian Hoyer pass complete short left to Pierre Garcon for 22 yards (tackle by Luke Kuechly). Penalty on Daryl Worley: Defensive Holding (Declined),-0.190,3.580
3,0:58,1,10,CAR 30,23,0,Brian Hoyer pass complete short right to Trent Taylor for 8 yards (tackle by James Bradberry),3.580,4.110
3,0:37,2,2,CAR 22,23,0,Matt Breida right guard for 1 yard (tackle by Thomas Davis),4.110,3.530
3,0:18,3,1,CAR 21,23,0,Brian Hoyer pass incomplete short right intended for Pierre Garcon,3.530,2.210
3,0:13,4,1,CAR 21,23,0,"Penalty on Brian Hoyer: Delay of Game, 5 yards (no play)",2.210,1.760
3,0:13,4,6,CAR 26,23,3,Robbie Gould 44 yard field goal good,1.760,3.000
3,0:08,,,SFO 35,23,3,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,0:08,1,10,CAR 25,23,3,"Jonathan Stewart left end for 7 yards (tackle by NaVorro Bowman). Penalty on Matt Kalil: Offensive Holding, 10 yards (no play)",0.610,-0.410
Quarter,Time,Down,ToGo,Location,CAR,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,CAR 15,23,3,Cam Newton pass complete short left to Christian McCaffrey for 3 yards (tackle by Jaquiski Tartt),-0.410,-0.980
4,14:16,2,17,CAR 18,23,3,"Christian McCaffrey middle for 6 yards (tackle by Ray-Ray Armstrong and NaVorro Bowman). Penalty on Ray-Ray Armstrong: Face Mask (15 Yards), 15 yards",-0.980,1.530
4,13:49,1,10,CAR 39,23,3,"Christian McCaffrey left end for -6 yards (tackle by Rashard Robinson). Christian McCaffrey fumbles (forced by Rashard Robinson), recovered by Rashard Robinson at CAR-33 and returned for 2 yards (tackle by Cam Newton)",1.530,-3.510
4,13:37,1,10,CAR 31,23,3,Brian Hoyer pass incomplete short left intended for Kyle Juszczyk (defended by Daryl Worley),3.510,2.970
4,13:30,2,10,CAR 31,23,3,Brian Hoyer pass complete short left to Carlos Hyde for 6 yards (tackle by Daryl Worley),2.970,3.070
4,12:50,3,4,CAR 25,23,3,Brian Hoyer pass complete short left to Pierre Garcon for 4 yards (tackle by Daryl Worley),3.070,4.170
4,12:21,1,10,CAR 21,23,3,Brian Hoyer pass complete short right to George Kittle for 5 yards (tackle by James Bradberry),4.170,4.370
4,12:02,2,5,CAR 16,23,3,Brian Hoyer pass complete short left to George Kittle for 3 yards (tackle by Kurt Coleman),4.370,0.000
4,11:14,,,,,,Timeout #1 by San Francisco 49ers,0.000,-4.240
4,11:14,3,2,CAR 13,23,3,"Penalty on George Kittle: False Start, 5 yards (no play)",4.240,3.310
4,11:14,3,7,CAR 18,23,3,"Brian Hoyer sacked by Mario Addison for -7 yards. Penalty on Charles Johnson: Defensive Holding, 5 yards (no play)",3.310,4.710
4,10:47,1,10,CAR 13,23,3,Brian Hoyer pass complete short right to Carlos Hyde for 10 yards (tackle by Star Lotulelei),4.710,6.510
4,10:20,1,3,CAR 3,23,3,Brian Hoyer pass incomplete short right intended for Marquise Goodwin,6.510,5.530
4,10:14,2,3,CAR 3,23,3,Brian Hoyer left end for -5 yards (tackle by Mike Adams),5.530,3.580
4,9:30,3,8,CAR 8,23,3,Brian Hoyer pass complete short left to Carlos Hyde for 7 yards (tackle by Thomas Davis),3.580,3.550
4,8:54,4,1,CAR 1,23,3,Carlos Hyde right end for no gain (tackle by Thomas Davis),3.550,0.380
4,8:48,1,10,CAR 1,23,3,Jonathan Stewart middle for 5 yards (tackle by Dontae Johnson),-0.380,-0.420
4,8:04,2,5,CAR 6,23,3,Jonathan Stewart middle for 8 yards (tackle by Jaquiski Tartt),-0.420,-0.280
4,7:17,1,10,CAR 14,23,3,Jonathan Stewart left tackle for 4 yards (tackle by DeForest Buckner),-0.280,-0.210
4,6:35,2,6,CAR 18,23,3,Jonathan Stewart middle for 6 yards (tackle by Eli Harold),-0.210,0.540
4,5:48,1,10,CAR 24,23,3,Jonathan Stewart right end for 3 yards (tackle by Xavier Cooper),0.540,0.400
4,4:59,2,7,CAR 27,23,3,Jonathan Stewart right guard for 2 yards (tackle by Ray-Ray Armstrong),0.400,0.000
4,4:18,,,,,,Timeout #2 by San Francisco 49ers,0.000,0.030
4,4:18,3,5,CAR 29,23,3,Christian McCaffrey middle for 11 yards (tackle by K'Waun Williams),-0.030,1.600
4,3:31,1,10,CAR 40,23,3,Christian McCaffrey left guard for 1 yard (tackle by Eric Reid and Ray-Ray Armstrong),1.600,1.190
4,2:46,2,9,CAR 41,23,3,Jonathan Stewart right tackle for 2 yards (tackle by DeForest Buckner and Dekoda Watson),1.190,0.000
4,2:39,,,,,,Timeout #3 by San Francisco 49ers,0.000,-0.760
4,2:39,3,7,CAR 43,23,3,Christian McCaffrey left end for 8 yards (tackle by Eric Reid and Rashard Robinson),0.760,2.320
4,2:00,1,10,SFO 49,23,3,Cam Newton kneels for -1 yards,2.320,1.650
4,1:18,2,11,,23,3,Cam Newton kneels for -1 yards,1.650,0.830
4,0:37,3,12,CAR 49,23,3,Cam Newton kneels for -1 yards,0.830,-0.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
