Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"John Carney kicks off 56 yards, returned by Chris Perry for 19 yards (tackle by Corey McIntyre)",0.000,1.140
1,14:53,1,10,CIN 33,0,0,Rudi Johnson right tackle for 6 yards (tackle by Mark Simoneau and Omar Stoutmire),1.140,1.400
1,14:18,2,4,CIN 39,0,0,Rudi Johnson right end for 2 yards (tackle by Mike McKenzie),1.400,0.960
1,13:52,3,2,CIN 41,0,0,Carson Palmer pass complete short left to Chris Henry for 18 yards (tackle by Scott Fujita),0.960,2.850
1,13:13,1,10,NOR 41,6,0,"Carson Palmer pass complete deep left to Chad Johnson for 41 yards, touchdown",2.850,7.000
1,,,,NOR 2,7,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,7,0,"Shayne Graham kicks off 67 yards, returned by Michael Lewis for 18 yards (tackle by Ethan Kilmer)",0.000,0.340
1,13:03,1,10,NOR 21,7,0,Reggie Bush right end for 6 yards (tackle by John Thornton),0.340,0.610
1,12:25,2,4,NOR 27,7,0,Drew Brees pass complete short left to Deuce McAllister for 10 yards (tackle by Rashad Jeanty). Penalty on Tory James: Defensive Holding (Declined),0.610,1.400
1,11:57,1,10,NOR 37,7,0,Deuce McAllister right end for 6 yards (tackle by Caleb Miller),1.400,1.670
1,11:21,2,4,NOR 43,7,0,"Penalty on Mike Karney: False Start, 5 yards (no play)",1.670,0.990
1,11:08,2,9,NOR 38,7,0,Reggie Bush left tackle for 4 yards (tackle by Caleb Miller and Bryan Robinson),0.990,0.830
1,10:29,3,5,NOR 42,7,0,Drew Brees sacked by Kevin Kaesviharn and Robert Geathers for -3 yards,0.830,-0.780
1,10:07,4,8,NOR 39,7,0,"Steve Weatherford punts 35 yards, returned by Keiwan Ratliff for 5 yards (tackle by Terrence Melton)",-0.780,-1.000
1,9:56,1,10,CIN 31,7,0,Rudi Johnson left guard for 6 yards (tackle by Hollis Thomas),1.000,1.270
1,9:16,2,4,CIN 37,7,0,Carson Palmer pass incomplete short left intended for Chad Johnson,1.270,0.560
1,9:11,3,4,CIN 37,7,0,Carson Palmer sacked by Will Smith for -9 yards,0.560,-1.500
1,8:42,4,13,CIN 28,7,0,"Kyle Larson punts 50 yards, returned by Michael Lewis for 11 yards (tackle by Marcus Wilkins)",-1.500,-1.140
1,8:31,1,10,NOR 33,7,0,"Penalty on Mark Campbell: False Start, 5 yards (no play)",1.140,0.810
1,8:31,1,15,NOR 28,7,6,"Drew Brees pass complete deep middle to Joe Horn for 72 yards, touchdown",0.810,7.000
1,,,,CIN 2,7,7,John Carney kicks extra point good,0.000,0.000
1,,,,NOR 30,7,7,"John Carney kicks off 61 yards, returned by Chris Perry for 16 yards (tackle by Bryan Scott)",0.000,0.610
1,8:14,1,10,CIN 25,7,7,Chad Johnson right end for 3 yards (tackle by Scott Fujita),0.610,0.470
1,7:45,2,7,CIN 28,7,7,Carson Palmer pass incomplete short left intended for Chris Henry (defended by Charles Grant),0.470,-0.230
1,7:40,3,7,CIN 28,7,7,Carson Palmer pass incomplete deep right intended for Chad Johnson,-0.230,-1.500
1,7:34,4,7,CIN 28,7,7,"Kyle Larson punts 46 yards, returned by Reggie Bush for -1 yards (tackle by Marcus Wilkins)",-1.500,-0.610
1,7:20,1,10,NOR 25,7,7,Reggie Bush right guard for 4 yards (tackle by Landon Johnson and Caleb Miller),0.610,0.600
1,6:40,2,6,NOR 29,7,7,Drew Brees pass complete short middle to Deuce McAllister for 12 yards (tackle by Rashad Jeanty),0.600,1.660
1,5:59,1,10,NOR 41,7,7,Drew Brees pass incomplete short left intended for Aaron Stecker (defended by Madieu Williams),1.660,1.120
1,5:53,2,10,NOR 41,7,7,Reggie Bush right end for 6 yards (tackle by Bryan Robinson and Domata Peko),1.120,1.220
1,5:12,3,4,NOR 47,7,7,Drew Brees pass complete short right to Aaron Stecker for 5 yards (tackle by Caleb Miller),1.220,2.390
1,4:35,1,10,CIN 48,7,7,Reggie Bush right end for 6 yards (tackle by Madieu Williams),2.390,2.660
1,3:52,2,4,CIN 42,7,7,Deuce McAllister right tackle for 2 yards (tackle by Robert Geathers and Landon Johnson),2.660,2.210
1,3:09,3,2,CIN 40,7,7,Drew Brees pass incomplete short right intended for Joe Horn (defended by Caleb Miller),2.210,0.590
1,3:05,4,2,CIN 40,7,7,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",0.590,0.270
1,3:05,4,7,CIN 45,7,7,"Steve Weatherford punts 45 yards, touchback",0.270,-0.280
1,2:56,1,10,CIN 20,7,7,Rudi Johnson left tackle for 3 yards (tackle by Willie Whitehead),0.280,0.140
1,2:14,2,7,CIN 23,7,7,Rudi Johnson left tackle for no gain (tackle by Scott Shanle),0.140,-0.560
1,1:36,3,7,CIN 23,7,7,Carson Palmer pass complete short left to Kenny Watson for 2 yards (tackle by Charles Grant and Scott Fujita),-0.560,-1.700
1,0:51,4,5,CIN 25,7,7,"Kyle Larson punts 54 yards, returned by Michael Lewis for 12 yards (tackle by Rashad Jeanty)",-1.700,-1.140
1,0:39,1,10,NOR 33,7,7,Drew Brees pass incomplete deep left intended for Devery Henderson (defended by Tory James),1.140,0.590
1,0:32,2,10,NOR 33,7,7,Drew Brees pass complete short left to Devery Henderson for 10 yards (tackle by Caleb Miller),0.590,1.800
Quarter,Time,Down,ToGo,Location,CIN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 43,7,7,Reggie Bush left end for 5 yards (tackle by Landon Johnson),1.800,1.930
2,14:21,2,5,NOR 48,7,7,Drew Brees pass complete deep left to Devery Henderson for 44 yards (tackle by Tory James),1.930,5.370
2,14:06,1,8,CIN 8,7,7,Drew Brees pass incomplete short left intended for Devery Henderson is intercepted by Madieu Williams and returned for 25 yards. Penalty on Jeff Faine: Ineligible Downfield Pas (Declined),5.370,-0.340
2,13:55,1,10,CIN 21,7,7,Jeremi Johnson left guard for 6 yards (tackle by Josh Bullocks and Scott Shanle),0.340,0.610
2,13:26,2,4,CIN 27,7,7,Rudi Johnson right end for 5 yards (tackle by Omar Stoutmire and Brian Young),0.610,1.070
2,12:47,1,10,CIN 32,7,7,Carson Palmer pass incomplete deep middle intended for T.J. Houshmandzadeh,1.070,0.530
2,12:40,,,,7,7,Timeout #1 by Cincinnati Bengals,0.000,0.530
2,12:40,2,10,CIN 32,7,7,Rudi Johnson left tackle for 14 yards (tackle by Scott Fujita),0.530,1.990
