Unnamed: 0,CIN,NOR
First Downs,15,29
Rush-Yds-TDs,31-119-0,23-91-0
Cmp-Att-Yd-TD-INT,14-22-275-3-1,37-52-510-2-3
Sacked-Yards,1-9,2-6
Net Pass Yards,266,504
Total Yards,385,595
Fumbles-Lost,1-0,2-1
Turnovers,1,4
Penalties-Yards,2-10,4-25
Third Down Conv.,4-11,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,26:27,33:33
