Quarter,Time,Tm,Detail,PHI,NYG
2.0,14:15,Giants,Jay Feely 26 yard field goal,0,3
,2:55,Giants,Amani Toomer 1 yard pass from Eli Manning (Jay Feely kick),0,10
3.0,9:05,Eagles,Reggie Brown 22 yard pass from Mike McMahon (David Akers kick),7,10
,5:58,Giants,Jay Feely 27 yard field goal,7,13
,1:33,Eagles,David Akers 20 yard field goal,10,13
4.0,12:14,Giants,Jeremy Shockey 1 yard pass from Eli Manning (Jay Feely kick),10,20
,7:33,Eagles,Mike McMahon 1 yard rush (David Akers kick),17,20
,5:24,Giants,Plaxico Burress 61 yard pass from Eli Manning (Jay Feely kick),17,27
