Quarter,Time,Tm,Detail,MIA,NYJ
2.0,0:44,Dolphins,Caleb Sturgis 34 yard field goal,3,0
,0:05,Dolphins,Caleb Sturgis 43 yard field goal,6,0
3.0,9:42,Dolphins,Brian Hartline 31 yard pass from Ryan Tannehill (Caleb Sturgis kick),13,0
,4:30,Jets,Nick Folk 20 yard field goal,13,3
,1:02,Dolphins,Mike Wallace 28 yard pass from Ryan Tannehill (Caleb Sturgis kick),20,3
4.0,5:59,Dolphins,Caleb Sturgis 18 yard field goal,23,3
