Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 68 yards, returned by Marcus Thigpen for 22 yards (tackle by Dawan Landry). Penalty on Jonathan Freeny: Offensive Holding, 8 yards",0.000,0.380
1,14:56,1,10,MIA 8,0,0,Ryan Tannehill pass complete short right to Charles Clay for 5 yards (tackle by Demario Davis),-0.380,-0.410
1,14:22,2,5,MIA 13,0,0,Lamar Miller right end for 6 yards (tackle by Sheldon Richardson),-0.410,0.150
1,13:32,1,10,MIA 19,0,0,Ryan Tannehill pass incomplete short middle intended for Brian Hartline,0.150,-0.390
1,13:27,2,10,MIA 19,0,0,Lamar Miller left tackle for 4 yards (tackle by Muhammad Wilkerson),-0.390,-0.550
1,12:45,3,6,MIA 23,0,0,Ryan Tannehill pass complete short right to Rishard Matthews for 8 yards (tackle by Antonio Cromartie),-0.550,1.000
1,12:06,1,10,MIA 31,0,0,Ryan Tannehill pass complete short right to Mike Wallace for 21 yards (tackle by Antonio Cromartie),1.000,2.390
1,11:38,1,10,NYJ 48,0,0,Lamar Miller right end for 4 yards (tackle by David Harris),2.390,2.390
1,10:57,2,6,NYJ 44,0,0,Ryan Tannehill pass incomplete deep left intended for Marlon Moore,2.390,1.690
1,10:51,3,6,NYJ 44,0,0,Ryan Tannehill pass complete short left to Brian Hartline for 13 yards (tackle by Dee Milliner),1.690,3.510
1,10:07,1,10,NYJ 31,0,0,Ryan Tannehill left guard for 5 yards (tackle by David Harris),3.510,3.640
1,9:23,2,5,NYJ 26,0,0,Ryan Tannehill pass complete short right to Mike Wallace for 6 yards (tackle by Dawan Landry and Muhammad Wilkerson),3.640,4.240
1,8:45,1,10,NYJ 20,0,0,"Ryan Tannehill pass complete short right to Lamar Miller for 17 yards (tackle by Ed Reed). Penalty on Charles Clay: Offensive Pass Interference, 10 yards (no play)",4.240,3.580
1,8:16,1,20,NYJ 30,0,0,Ryan Tannehill sacked by Quinton Coples for -3 yards,3.580,1.940
1,7:39,2,23,NYJ 33,0,0,"Lamar Miller left tackle for no gain (tackle by David Harris). Penalty on Kenrick Ellis: Defensive Offside, 5 yards (no play)",1.940,2.610
1,7:11,2,18,NYJ 28,0,0,Mike Gillislee left tackle for 5 yards (tackle by Quinton Coples and Dee Milliner),2.610,2.610
1,6:27,3,13,NYJ 23,0,0,Ryan Tannehill pass complete short middle to Marcus Thigpen for no gain,2.610,1.930
1,5:54,4,13,NYJ 23,0,0,Caleb Sturgis 41 yard field goal no good,1.930,-1.000
