Quarter,Time,Tm,Detail,OAK,HOU
1.0,7:57,Texans,Nick Novak 50 yard field goal,0,3
,6:16,Texans,Lamar Miller 4 yard rush (Nick Novak kick),0,10
,1:01,Raiders,Latavius Murray 2 yard rush (Sebastian Janikowski kick),7,10
2.0,8:43,Texans,Nick Novak 38 yard field goal,7,13
,1:20,Texans,DeAndre Hopkins 2 yard pass from Brock Osweiler (Nick Novak kick),7,20
4.0,12:28,Texans,Brock Osweiler 1 yard rush (Nick Novak kick),7,27
,8:10,Raiders,Andre Holmes 8 yard pass from Connor Cook (Sebastian Janikowski kick),14,27
