Unnamed: 0,NYG,CHI
First Downs,24,18
Rush-Yds-TDs,37-175-2,23-68-0
Cmp-Att-Yd-TD-INT,16-27-195-1-2,25-46-296-1-0
Sacked-Yards,2-14,6-52
Net Pass Yards,181,244
Total Yards,356,312
Fumbles-Lost,4-2,0-0
Turnovers,4,0
Penalties-Yards,2-10,10-71
Third Down Conv.,5-12,6-19
Fourth Down Conv.,1-1,1-1
Time of Possession,30:36,29:24
