Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
1,1:02,2,10,NYG 33,0,7,"Penalty on Rich Seubert: False Start, 5 yards (no play)",0.590,-0.080
1,1:02,2,15,NYG 28,0,7,Derrick Ward right tackle for 8 yards (tackle by Brandon McGowan),-0.080,0.300
1,0:21,3,7,NYG 36,0,7,Eli Manning pass complete short middle to Amani Toomer for 7 yards (tackle by Lance Briggs),0.300,1.800
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 43,0,7,Domenik Hixon right end for -8 yards (tackle by Alex Brown),1.800,0.170
2,14:18,2,18,NYG 35,0,7,Eli Manning pass incomplete deep middle intended for Plaxico Burress,0.170,-0.490
2,14:13,3,18,NYG 35,0,7,Eli Manning pass complete short middle to Derrick Ward for 12 yards (tackle by Hunter Hillenmeyer),-0.490,-0.260
2,13:33,4,6,NYG 47,0,7,"Jeff Feagles punts 42 yards, returned by Devin Hester for 4 yards (tackle by Chase Blackburn)",-0.260,0.220
2,13:25,1,10,CHI 15,0,7,Adrian Peterson left guard for 4 yards (tackle by Barry Cofield),-0.220,-0.110
2,12:50,2,6,CHI 19,0,7,Rex Grossman pass incomplete deep right intended for Devin Hester,-0.110,-0.880
2,12:50,3,6,CHI 19,0,7,"Penalty on Rex Grossman: Delay of Game, 5 yards (no play)",-0.880,-1.510
2,12:42,3,11,CHI 14,0,7,Rex Grossman sacked by Sam Madison for -13 yards,-1.510,-2.490
2,12:15,4,24,CHI 1,0,7,Brad Maynard punts 31 yards,-2.490,-3.450
2,12:05,1,10,CHI 32,0,7,Derrick Ward left end for 31 yards (tackle by Danieal Manning),3.450,6.970
,,,,,,,"CHI challenged the ruling, and the play was upheld.",,
2,11:35,1,1,CHI 1,0,7,Reuben Droughns left guard for -2 yards (tackle by Mark Anderson and Lance Briggs),6.970,5.530
2,10:58,2,3,CHI 3,0,7,Reuben Droughns left tackle for 1 yard (tackle by Lance Briggs and Brian Urlacher),5.530,4.950
2,10:29,3,2,CHI 2,6,7,"Derrick Ward left end for 2 yards, touchdown",4.950,7.000
2,,,,CHI 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,7,7,"Lawrence Tynes kicks off 47 yards, returned by Rashied Davis for 10 yards (tackle by Domenik Hixon)",0.000,1.140
2,10:21,1,10,CHI 33,7,7,Rex Grossman pass incomplete deep right intended for Mark Bradley,1.140,0.590
2,10:15,2,10,CHI 33,7,7,Rex Grossman pass complete short right to Greg Olsen for 4 yards (tackle by Kawika Mitchell),0.590,0.430
2,9:30,3,6,CHI 37,7,7,Rex Grossman sacked by Justin Tuck for -3 yards,0.430,-1.110
2,9:18,4,9,CHI 34,7,7,"Brad Maynard punts 48 yards. Penalty on Corey Graham: Illegal Touch Kick, 5 yards (no play)",-1.110,-1.440
2,9:07,4,14,CHI 29,7,7,"Brad Maynard punts 46 yards, returned by R.W. McQuarters for 7 yards (tackle by Garrett Wolfe)",-1.440,-1.070
2,8:55,1,10,NYG 32,7,7,Derrick Ward left tackle for 33 yards (tackle by Charles Tillman),1.070,3.250
2,8:31,1,10,CHI 35,7,7,Eli Manning pass complete short right to Amani Toomer for 12 yards (tackle by Trumaine McBride),3.250,4.040
2,7:56,1,10,CHI 23,7,7,"Eli Manning sacked for -4 yards. Eli Manning fumbles, recovered by Anthony Adams at CHI-29 (tackle by Rich Seubert)",4.040,-0.870
2,7:51,1,10,CHI 29,7,7,Adrian Peterson right tackle for 3 yards (tackle by Kawika Mitchell),0.870,0.730
2,7:22,2,7,CHI 32,7,7,Rex Grossman pass complete short right to Greg Olsen for 3 yards (tackle by Kawika Mitchell),0.730,0.430
2,7:01,3,4,CHI 35,7,7,Rex Grossman pass complete deep left to Bernard Berrian for 50 yards (tackle by Sam Madison),0.430,4.580
2,6:26,1,10,NYG 15,7,7,Rex Grossman pass complete short left to Adrian Peterson for 10 yards (tackle by Antonio Pierce),4.580,6.060
2,5:55,1,5,NYG 5,7,7,Adrian Peterson right tackle for -1 yards (tackle by Kawika Mitchell),6.060,4.950
2,5:11,2,6,NYG 6,7,7,Rex Grossman pass incomplete short right intended for Greg Olsen,4.950,4.040
2,5:06,3,6,NYG 6,7,7,Rex Grossman sacked by Michael Strahan for -11 yards,4.040,2.310
2,4:43,4,17,NYG 17,7,10,Robbie Gould 35 yard field goal good,2.310,3.000
2,,,,CHI 30,7,10,"Robbie Gould kicks off 60 yards, returned by Ahmad Bradshaw for 24 yards (tackle by Jamar Williams)",0.000,1.200
2,4:32,1,10,NYG 34,7,10,Derrick Ward left tackle for 4 yards (tackle by Anthony Adams),1.200,1.200
2,3:50,2,6,NYG 38,7,10,Eli Manning pass incomplete short right intended for Madison Hedgecock,1.200,0.500
2,3:46,3,6,NYG 38,7,10,Derrick Ward right end for 4 yards (tackle by Brian Urlacher),0.500,-0.590
2,3:06,4,2,NYG 42,7,10,"Jeff Feagles punts 52 yards, returned by Devin Hester for 4 yards (tackle by Chase Blackburn)",-0.590,0.380
2,2:53,1,10,CHI 10,7,10,Adrian Peterson right tackle for 5 yards (tackle by Barry Cofield),-0.380,-0.350
2,2:20,2,5,CHI 15,7,10,Rex Grossman pass complete deep left to Muhsin Muhammad for 21 yards (tackle by Reggie Torbor),-0.350,1.330
2,2:00,1,10,CHI 36,7,10,Rex Grossman pass incomplete short right intended for Jason McKie,1.330,0.790
2,1:54,2,10,CHI 36,7,10,Adrian Peterson left guard for 1 yard (tackle by Kawika Mitchell and Fred Robbins),0.790,0.230
2,1:48,,,,7,10,Timeout #1 by New York Giants,0.000,0.230
2,1:48,3,9,CHI 37,7,10,Rex Grossman pass complete short middle to Rashied Davis for 12 yards (tackle by James Butler),0.230,2.190
2,1:27,1,10,CHI 49,7,10,Rex Grossman pass complete short middle to Adrian Peterson for 7 yards (tackle by Craig Dahl),2.190,2.590
2,1:03,2,3,NYG 44,7,10,Rex Grossman pass complete short left to Rashied Davis for 5 yards (tackle by Sam Madison),2.590,2.980
2,0:54,,,,7,10,Timeout #2 by Chicago Bears,0.000,2.980
2,0:54,1,10,NYG 39,7,10,Rex Grossman pass incomplete deep left intended for Bernard Berrian,2.980,2.440
2,0:49,2,10,NYG 39,7,10,Rex Grossman pass incomplete deep right intended for Muhsin Muhammad,2.440,1.750
2,0:45,3,10,NYG 39,7,10,Rex Grossman pass complete short middle to Adrian Peterson for 25 yards (tackle by R.W. McQuarters),1.750,4.650
2,0:25,1,10,NYG 14,7,10,Rex Grossman spiked the ball,4.650,4.000
2,0:24,2,10,NYG 14,7,10,Rex Grossman pass incomplete short left intended for Muhsin Muhammad,4.000,3.110
2,0:19,3,10,NYG 14,7,10,Rex Grossman sacked by Osi Umenyiora for -14 yards,3.110,1.590
2,0:03,,,,7,10,Timeout #3 by Chicago Bears,0.000,1.590
2,0:03,4,24,NYG 28,7,13,Robbie Gould 46 yard field goal good,1.590,3.000
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,7,13,Lawrence Tynes kicks off 45 yards,0.000,1.600
3,15:00,1,10,CHI 40,7,13,Adrian Peterson right guard for 3 yards (tackle by Osi Umenyiora and Fred Robbins),1.600,1.460
3,14:24,2,7,CHI 43,7,13,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by James Butler),1.460,0.760
3,14:20,3,7,CHI 43,7,13,Rex Grossman pass incomplete short left intended for Rashied Davis,0.760,-0.520
3,14:16,4,7,CHI 43,7,13,"Brad Maynard punts 43 yards, returned by R.W. McQuarters for 6 yards (tackle by John Gilmore)",-0.520,-0.280
3,14:03,1,10,NYG 20,7,13,"Derrick Ward left tackle for 1 yard (tackle by Adewale Ogunleye). Derrick Ward fumbles (forced by Adewale Ogunleye), recovered by Adewale Ogunleye at NYG-24",0.280,-3.970
3,13:56,1,10,NYG 24,7,13,Adrian Peterson left guard for 1 yard (tackle by Michael Strahan),3.970,3.570
3,13:23,2,9,NYG 23,7,13,Adrian Peterson left tackle for 7 yards (tackle by Kevin Dockery),3.570,3.950
3,12:43,3,2,NYG 16,7,13,Adrian Peterson left guard for 3 yards (tackle by Barry Cofield and Fred Robbins),3.950,4.710
3,12:05,1,10,NYG 13,7,13,Adrian Peterson left tackle for 2 yards (tackle by Michael Strahan),4.710,4.390
3,11:22,2,8,NYG 11,7,13,"Adrian Peterson left tackle for 4 yards (tackle by Michael Johnson). Penalty on Terrence Metcalf: Personal Foul, 15 yards",4.390,2.280
3,11:00,3,19,NYG 22,7,13,Rex Grossman pass incomplete short left intended for Adrian Peterson,2.280,1.990
3,10:57,4,19,NYG 22,7,16,Robbie Gould 41 yard field goal good,1.990,3.000
3,,,,CHI 30,7,16,"Robbie Gould kicks off 59 yards, returned by Ahmad Bradshaw for 12 yards (tackle by Jamar Williams)",0.000,0.480
3,10:47,1,10,NYG 23,7,16,Eli Manning sacked by Anthony Adams and Mark Anderson for -8 yards,0.480,-1.280
3,10:18,2,18,NYG 15,7,16,Eli Manning pass complete short middle to Jeremy Shockey for 7 yards (tackle by Brian Urlacher),-1.280,-0.890
3,9:37,3,11,NYG 22,7,16,Eli Manning pass incomplete short left intended for Jeremy Shockey,-0.890,-1.900
3,9:32,4,11,NYG 22,7,16,"Jeff Feagles punts 42 yards, returned by Devin Hester for 8 yards (tackle by Justin Tuck)",-1.900,-1.860
3,9:19,1,10,CHI 44,7,16,Adrian Peterson right end for 6 yards (tackle by Barry Cofield and James Butler),1.860,2.130
3,8:41,2,4,,7,16,Adrian Peterson left guard for -5 yards (tackle by Justin Tuck and Barry Cofield),2.130,0.760
3,8:01,3,9,CHI 45,7,16,Rex Grossman pass complete short right to Devin Hester for -4 yards (tackle by Kevin Dockery),0.760,-0.650
3,7:22,4,13,CHI 41,7,16,"Brad Maynard punts 46 yards, returned by R.W. McQuarters for 12 yards (tackle by Garrett Wolfe)",-0.650,-0.610
3,7:09,1,10,NYG 25,7,16,"Derrick Ward right tackle for no gain (tackle by Adewale Ogunleye). Derrick Ward fumbles (forced by Adewale Ogunleye), recovered by Michael Matthews at NYG-25",0.610,0.060
3,6:51,2,10,NYG 25,7,16,Derrick Ward left guard for 8 yards (tackle by Brian Urlacher and Adewale Ogunleye),0.060,0.430
3,6:08,3,2,NYG 33,7,16,Eli Manning pass complete short left to Kevin Boss for 4 yards (tackle by Danieal Manning),0.430,1.400
3,5:24,1,10,NYG 37,7,16,Derrick Ward left guard for 3 yards (tackle by Alex Brown),1.400,1.260
3,4:46,2,7,NYG 40,7,16,Eli Manning pass complete short middle to Derrick Ward for 17 yards (tackle by Lance Briggs). Penalty on Mark Anderson: Defensive Offside (Declined),1.260,2.720
3,4:22,1,10,CHI 43,7,16,Ahmad Bradshaw right end for 2 yards (tackle by Lance Briggs),2.720,2.450
3,3:41,2,8,CHI 41,7,16,"Eli Manning pass incomplete intended for Derrick Ward. Penalty on Darwin Walker: Defensive Offside, 5 yards (no play)",2.450,3.120
3,3:36,2,3,CHI 36,7,16,Derrick Ward left guard for 1 yard (tackle by Brian Urlacher and Lance Briggs),3.120,2.540
3,3:12,3,2,CHI 35,7,16,Reuben Droughns left tackle for 1 yard (tackle by Anthony Adams),2.540,1.100
3,2:48,4,1,CHI 34,7,16,Reuben Droughns right end for 9 yards (tackle by Danieal Manning),1.100,3.910
3,2:06,1,10,CHI 25,7,16,Eli Manning pass complete deep right to Jeremy Shockey for 18 yards (tackle by Trumaine McBride),3.910,5.600
3,1:29,1,7,CHI 7,7,16,Derrick Ward right tackle for 2 yards (tackle by Brian Urlacher),5.600,5.150
3,0:51,2,5,CHI 5,7,16,Derrick Ward left end for 4 yards (tackle by Adewale Ogunleye),5.150,5.170
3,0:22,3,1,CHI 1,7,16,Eli Manning pass incomplete short left intended for Plaxico Burress is intercepted by Charles Tillman,5.170,-0.280
3,0:13,1,10,CHI 20,7,16,Rex Grossman pass complete deep middle to Desmond Clark for 44 yards (tackle by Antonio Pierce),0.280,3.180
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 36,7,16,Rex Grossman pass complete short right to Jason McKie for no gain,3.180,2.640
4,14:22,2,10,NYG 36,7,16,"Penalty on Desmond Clark: False Start, 5 yards (no play)",2.640,1.960
4,14:09,2,15,NYG 41,7,16,Rex Grossman pass complete short middle to Adrian Peterson for 1 yard (tackle by Kawika Mitchell),1.960,1.420
4,13:20,3,14,NYG 40,7,16,Rex Grossman pass incomplete deep left intended for Bernard Berrian,1.420,0.590
4,13:14,4,14,NYG 40,7,16,"Brad Maynard punts 40 yards, touchback",0.590,-0.280
4,13:05,1,10,NYG 20,7,16,Eli Manning pass incomplete short left intended for Ahmad Bradshaw,0.280,-0.270
4,13:00,2,10,NYG 20,7,16,Eli Manning pass incomplete short left intended for Plaxico Burress,-0.270,-0.960
4,12:56,3,10,NYG 20,7,16,Eli Manning pass incomplete short middle intended for Derrick Ward,-0.960,-2.030
4,12:50,4,10,NYG 20,7,16,Jeff Feagles punts 34 yards,-2.030,-1.990
4,12:39,1,10,CHI 46,7,16,Adrian Peterson right tackle for 2 yards (tackle by Fred Robbins and Kawika Mitchell),1.990,1.720
4,12:05,2,8,CHI 48,7,16,Rex Grossman pass incomplete short right intended for Bernard Berrian,1.720,1.030
4,12:00,3,8,CHI 48,7,16,"Penalty on John St. Clair: False Start, 5 yards (no play)",1.030,0.370
4,12:00,3,13,CHI 43,7,16,Rex Grossman pass incomplete deep left intended for Bernard Berrian,0.370,-0.520
4,11:55,4,13,CHI 43,7,16,Brad Maynard punts 32 yards,-0.520,-0.610
4,11:45,1,10,NYG 25,7,16,Eli Manning pass complete short middle to Amani Toomer for 18 yards (tackle by Danieal Manning),0.610,1.800
4,11:19,1,10,NYG 43,7,16,Derrick Ward left guard for 8 yards (tackle by Hunter Hillenmeyer),1.800,2.330
4,10:45,2,2,CHI 49,7,16,Derrick Ward left end for 4 yards (tackle by Brian Urlacher),2.330,2.590
4,10:11,1,10,CHI 45,7,16,Eli Manning pass complete short right to Plaxico Burress for 9 yards (tackle by Brian Urlacher),2.590,3.260
4,10:11,2,1,CHI 36,7,16,"Penalty on Kevin Boss: False Start, 5 yards (no play)",3.260,2.580
4,9:15,2,6,CHI 41,7,16,"Eli Manning sacked by Darwin Walker for -8 yards. Penalty on Lance Briggs: Defensive Offside, 5 yards (no play)",2.580,3.260
4,9:04,2,1,CHI 36,7,16,Derrick Ward right tackle for 1 yard (tackle by Brandon McGowan),3.260,3.250
4,8:33,1,10,CHI 35,7,16,Eli Manning pass incomplete deep right intended for Sinorice Moss,3.250,2.700
4,8:29,2,10,CHI 35,7,16,Derrick Ward left guard for 8 yards (tackle by Brian Urlacher),2.700,3.070
4,8:06,3,2,CHI 27,7,16,Derrick Ward right guard for 4 yards (tackle by Anthony Adams and Brian Urlacher),3.070,4.040
4,7:44,1,10,CHI 23,7,16,"Eli Manning pass incomplete short middle intended for Jeremy Shockey. Penalty on Brandon McGowan: Defensive Pass Interference, 16 yards (no play)",4.040,5.600
4,7:40,1,7,CHI 7,7,16,Eli Manning pass incomplete short left intended for David Tyree (defended by Trumaine McBride),5.600,4.760
4,7:35,2,7,CHI 7,7,16,Reuben Droughns right guard for 1 yard (tackle by Brian Urlacher),4.760,4.040
4,6:59,3,6,CHI 6,13,16,"Eli Manning pass complete short left to Amani Toomer for 6 yards, touchdown",4.040,7.000
,,,,,,,"NYG challenged the ruling, and the original play was overturned.",,
4,,,,CHI 2,14,16,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,14,16,Lawrence Tynes kicks off 51 yards,0.000,1.600
4,6:54,1,10,CHI 40,14,16,Rex Grossman pass complete short middle to Adrian Peterson for 8 yards (tackle by Reggie Torbor),1.600,2.130
4,6:11,2,2,CHI 48,14,16,Adrian Peterson right tackle for -1 yards (tackle by Michael Strahan),2.130,1.290
4,5:30,3,3,CHI 47,14,16,Rex Grossman sacked by Justin Tuck and Kawika Mitchell for -9 yards,1.290,-0.850
4,5:06,4,12,CHI 38,14,16,"Brad Maynard punts 41 yards, returned by R.W. McQuarters for 2 yards (tackle by Patrick Mannelly)",-0.850,-0.480
4,4:55,1,10,NYG 23,14,16,Reuben Droughns right tackle for 6 yards (tackle by Hunter Hillenmeyer and Brian Urlacher),0.480,0.740
4,4:30,2,4,NYG 29,14,16,Eli Manning pass complete short left to David Tyree for 8 yards (tackle by Lance Briggs),0.740,1.400
4,3:57,1,10,NYG 37,14,16,"Reuben Droughns left tackle for 3 yards (tackle by Tommie Harris). Reuben Droughns fumbles (forced by Tommie Harris), recovered by Reuben Droughns at NYG-40",1.400,1.260
4,3:25,2,7,NYG 40,14,16,Eli Manning pass complete short right to Amani Toomer for 15 yards (tackle by Brandon McGowan),1.260,2.590
4,2:57,1,10,CHI 45,14,16,Reuben Droughns left guard for 4 yards (tackle by Alex Brown),2.590,2.580
4,2:20,2,6,CHI 41,14,16,Eli Manning pass complete deep right to David Tyree for 24 yards (tackle by Brandon McGowan),2.580,4.440
4,2:00,1,10,CHI 17,14,16,Reuben Droughns right guard for no gain (tackle by Mark Anderson),4.440,3.850
4,1:56,,,,14,16,Timeout #1 by Chicago Bears,0.000,3.850
4,1:56,2,10,CHI 17,14,16,Eli Manning pass complete short middle to Plaxico Burress for 15 yards (tackle by Charles Tillman),3.850,6.740
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:37,,,,14,16,Timeout #2 by Chicago Bears,0.000,6.740
4,1:37,1,2,CHI 2,20,16,"Reuben Droughns right end for 2 yards, touchdown",6.740,7.000
4,,,,CHI 2,21,16,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,21,16,"Lawrence Tynes kicks off 48 yards, returned by Devin Hester for 19 yards (tackle by Chase Blackburn)",0.000,1.660
4,1:28,1,10,CHI 41,21,16,Rex Grossman pass complete short right to Adrian Peterson for 2 yards (tackle by Michael Johnson),1.660,1.390
4,1:08,2,8,CHI 43,21,16,Rex Grossman pass complete short right to Desmond Clark for 7 yards (tackle by Kawika Mitchell),1.390,1.620
4,0:50,3,1,,21,16,Adrian Peterson left tackle for 7 yards (tackle by Antonio Pierce),1.620,2.720
4,0:36,1,10,NYG 43,21,16,Rex Grossman spiked the ball,2.720,2.180
4,0:36,2,10,NYG 43,21,16,"Penalty on John Tait: False Start, 5 yards (no play)",2.180,1.500
4,0:36,2,15,NYG 48,21,16,Rex Grossman pass incomplete deep right intended for Rashied Davis (defended by Sam Madison),1.500,0.830
4,0:32,3,15,NYG 48,21,16,Rex Grossman pass incomplete deep left intended for Bernard Berrian,0.830,0.070
4,0:26,4,15,NYG 48,21,16,Rex Grossman pass complete deep right to Muhsin Muhammad for 20 yards (tackle by James Butler),0.070,3.710
4,0:17,,,,21,16,Timeout #3 by Chicago Bears,0.000,3.710
4,0:17,1,10,NYG 28,21,16,Rex Grossman pass incomplete deep middle intended for Rashied Davis,3.710,3.170
4,0:11,2,10,NYG 28,21,16,Rex Grossman pass incomplete deep left intended for Muhsin Muhammad,3.170,2.480
4,0:04,3,10,NYG 28,21,16,Rex Grossman pass incomplete deep left intended for Devin Hester (defended by James Butler),2.480,1.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
