Quarter,Time,Tm,Detail,DET,CHI
1.0,8:42,Lions,Matt Prater 22 yard field goal,3,0
2.0,4:40,Lions,Matt Prater 54 yard field goal,6,0
,0:25,Bears,Ben Braunecker 18 yard pass from Mitchell Trubisky (Eddy Pineiro kick),6,7
3.0,12:25,Bears,Tarik Cohen 9 yard pass from Mitchell Trubisky (Eddy Pineiro kick failed),6,13
,9:38,Bears,Taylor Gabriel 24 yard pass from Mitchell Trubisky (Eddy Pineiro kick),6,20
4.0,5:53,Lions,Kenny Golladay 47 yard pass from Jeff Driskel (Matt Prater kick),13,20
