Unnamed: 0,ATL,CAR
First Downs,25,10
Rush-Yds-TDs,47-149-2,14-71-0
Cmp-Att-Yd-TD-INT,20-25-277-3-0,13-26-115-0-4
Sacked-Yards,0-0,8-64
Net Pass Yards,277,51
Total Yards,426,122
Fumbles-Lost,1-1,3-2
Turnovers,1,6
Penalties-Yards,6-65,5-39
Third Down Conv.,7-14,2-10
Fourth Down Conv.,0-2,0-0
Time of Possession,39:48,20:12
