Unnamed: 0,MIN,DET
First Downs,21,11
Rush-Yds-TDs,21-76-1,22-80-0
Cmp-Att-Yd-TD-INT,31-41-315-1-2,17-28-153-1-0
Sacked-Yards,4-31,0-0
Net Pass Yards,284,153
Total Yards,360,233
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,3-25,5-35
Third Down Conv.,4-11,2-11
Fourth Down Conv.,1-2,0-0
Time of Possession,34:43,25:17
