Unnamed: 0,DET,CHI
First Downs,19,21
Rush-Yds-TDs,29-102-1,25-75-0
Cmp-Att-Yd-TD-INT,21-40-213-1-1,31-51-361-2-0
Sacked-Yards,2-14,3-14
Net Pass Yards,199,347
Total Yards,301,422
Fumbles-Lost,3-1,3-1
Turnovers,2,1
Penalties-Yards,7-50,6-64
Third Down Conv.,7-16,5-17
Fourth Down Conv.,1-1,2-4
Time of Possession,31:31,34:31
