Unnamed: 0,LAR,DET
First Downs,23,20
Rush-Yds-TDs,22-76-1,26-83-0
Cmp-Att-Yd-TD-INT,27-32-321-3-1,23-31-270-4-0
Sacked-Yards,1-10,1-5
Net Pass Yards,311,265
Total Yards,387,348
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,8-62,7-62
Third Down Conv.,6-9,6-11
Fourth Down Conv.,0-1,2-2
Time of Possession,27:48,32:12
