Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DET 25,0,0,Zach Zenner middle for 15 yards (tackle by Lamarcus Joyner),0.610,1.600
1,14:22,1,10,DET 40,0,0,Matthew Stafford pass incomplete short left intended for Marvin Jones (defended by Michael Brockers),1.600,1.050
1,14:18,2,10,DET 40,0,0,Zach Zenner middle for 2 yards (tackle by Michael Brockers),1.050,0.630
1,13:46,3,8,DET 42,0,0,Matthew Stafford middle for 7 yards (tackle by Alec Ogletree),0.630,-0.130
1,13:02,4,1,DET 49,0,0,Zach Zenner right tackle for 2 yards (tackle by Mark Barron),-0.130,2.320
1,12:18,1,10,LAR 49,0,0,Matthew Stafford pass complete short middle to Anquan Boldin for 8 yards (tackle by Alec Ogletree),2.320,2.860
1,11:36,2,2,LAR 41,0,0,Matthew Stafford pass complete short right to Golden Tate for 34 yards (tackle by Maurice Alexander),2.860,5.600
1,10:47,1,7,LAR 7,0,6,"Matthew Stafford pass complete short left to Marvin Jones for 7 yards, touchdown",5.600,7.000
1,10:47,,,LAR 7,0,7,Matt Prater kicks extra point good,0.000,0.000
1,10:47,,,DET 35,0,7,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,10:44,1,10,LAR 25,0,7,Todd Gurley left tackle for 15 yards (tackle by Tavon Wilson),0.610,1.600
1,10:09,1,10,LAR 40,0,7,Case Keenum pass complete short right to Tavon Austin for -3 yards (tackle by Quandre Diggs),1.600,0.650
1,9:24,2,13,LAR 37,0,7,Case Keenum pass complete short left to Tavon Austin for 15 yards (tackle by Glover Quin),0.650,2.390
1,8:47,1,10,DET 48,0,7,Todd Gurley middle for 5 yards (tackle by Tahir Whitehead),2.390,2.520
1,8:01,2,5,DET 43,0,7,Todd Gurley right tackle for 7 yards (tackle by Tavon Wilson),2.520,3.180
1,7:16,1,10,DET 36,0,7,Case Keenum pass incomplete short right intended for Lance Kendricks (defended by A'Shawn Robinson),3.180,2.640
1,7:12,2,10,DET 36,0,7,Case Keenum pass complete short middle to Brian Quick for 9 yards (tackle by Quandre Diggs),2.640,3.140
1,6:33,3,1,DET 27,0,7,Todd Gurley middle for 2 yards,3.140,3.910
1,5:56,1,10,DET 25,0,7,Case Keenum pass complete short right to Kenny Britt for 5 yards (tackle by Darius Slay),3.910,4.040
1,5:24,2,5,DET 20,6,7,"Case Keenum pass complete short right to Kenny Britt for 20 yards, touchdown",4.040,7.000
1,5:24,,,DET 20,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,5:24,,,LAR 35,7,7,"Greg Zuerlein kicks off 64 yards, returned by Andre Roberts for 27 yards (tackle by Josh Forrest)",0.000,-0.810
1,5:09,1,10,DET 28,7,7,--,0.810,0.480
1,5:09,1,15,DET 23,7,7,Matthew Stafford pass complete short right to Anquan Boldin for 7 yards (tackle by Lamarcus Joyner),0.480,0.530
1,4:38,2,8,DET 30,7,7,Justin Forsett left end for -1 yards (tackle by Alec Ogletree),0.530,-0.300
1,4:19,3,9,DET 29,7,7,"Penalty on Taylor Decker: False Start, 5 yards (no play)",-0.300,-0.960
1,3:55,3,14,DET 24,7,7,"Matthew Stafford pass incomplete deep right intended for Marvin Jones. Penalty on Ethan Westbrooks: Defensive Holding, 5 yards (no play)",-0.960,0.870
1,3:26,1,10,DET 29,7,7,Justin Forsett middle for 9 yards (tackle by T.J. McDonald and Troy Hill),0.870,1.540
1,2:38,2,1,DET 38,7,7,Matthew Stafford pass incomplete short right intended for Golden Tate,1.540,0.830
1,2:34,3,1,DET 38,7,7,Zach Zenner right tackle for -2 yards (tackle by Josh Forrest),0.830,-0.980
1,1:59,4,3,DET 36,7,7,"Sam Martin punts 48 yards, fair catch by Tavon Austin",-0.980,0.140
1,1:52,1,10,LAR 16,7,7,Case Keenum pass complete short left to Todd Gurley for 13 yards (tackle by Tahir Whitehead),-0.140,0.870
1,1:19,1,10,LAR 29,7,7,Todd Gurley left tackle for 3 yards (tackle by Thurston Armbrister),0.870,0.730
1,0:39,2,7,LAR 32,7,7,Case Keenum pass complete short right to Brian Quick for 16 yards (tackle by Quandre Diggs),0.730,2.130
Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 48,7,7,Case Keenum pass incomplete short middle intended for Tavon Austin,2.130,1.580
2,14:57,2,10,LAR 48,7,7,Case Keenum pass complete short right to Benny Cunningham for 9 yards,1.580,2.080
2,14:20,3,1,DET 43,7,7,Case Keenum right end for 2 yards,2.080,2.850
2,13:41,1,10,DET 41,7,7,Todd Gurley middle for 6 yards (tackle by Anthony Zettel),2.850,3.120
2,12:58,2,4,DET 35,7,7,Case Keenum pass complete short middle to Bradley Marquez for 13 yards (tackle by Tavon Wilson and Tahir Whitehead),3.120,4.110
2,12:19,1,10,DET 22,7,7,Tavon Austin right end for 8 yards (tackle by Khyri Thornton),4.110,4.110
2,11:42,1,10,DET 22,7,7,Timeout #1 by Los Angeles Rams,4.110,4.850
2,11:42,2,2,DET 14,7,7,Case Keenum pass complete short left to Todd Gurley for 13 yards (tackle by Tahir Whitehead),4.850,6.970
2,11:03,1,1,DET 1,13,7,"Case Keenum right end for 1 yard, touchdown",6.970,7.000
2,11:03,,,DET 1,14,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,11:03,,,LAR 35,14,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,11:01,1,10,DET 25,14,7,Zach Zenner left tackle for 1 yard (tackle by Troy Hill),0.610,0.200
2,10:25,2,9,DET 26,14,7,Matthew Stafford pass complete short left to Golden Tate for 12 yards (tackle by Troy Hill). Penalty on Lamarcus Joyner: Defensive Holding (Declined),0.200,1.470
2,10:00,1,10,DET 38,14,7,Golden Tate left end for 3 yards (tackle by Troy Hill),1.470,1.330
2,9:23,2,7,DET 41,14,7,"Penalty on Graham Glasgow: False Start, 5 yards (no play)",1.330,0.650
2,9:00,2,12,DET 36,14,7,Matthew Stafford pass complete short left to Marvin Jones for 3 yards (tackle by William Hayes),0.650,0.370
2,8:20,3,9,DET 39,14,7,Matthew Stafford pass complete short left to Zach Zenner for 15 yards (tackle by Troy Hill),0.370,2.520
2,7:34,1,10,LAR 46,14,7,Matthew Stafford pass complete short left to Golden Tate for 8 yards (tackle by Troy Hill and Mark Barron),2.520,3.060
2,6:49,2,2,LAR 38,14,7,Zach Zenner middle for 6 yards (tackle by E.J. Gaines),3.060,3.450
2,6:04,1,10,LAR 32,14,7,Matthew Stafford pass complete short right to Anquan Boldin for 6 yards (tackle by E.J. Gaines and Mark Barron),3.450,3.710
2,5:25,2,4,LAR 26,14,7,Zach Zenner left end for 7 yards (tackle by Lamarcus Joyner),3.710,4.310
2,4:40,1,10,LAR 19,14,7,Matthew Stafford pass complete short right to Anquan Boldin for 15 yards (tackle by T.J. McDonald and Alec Ogletree),4.310,6.280
2,3:58,1,4,LAR 4,14,7,Matthew Stafford pass complete short middle to Anquan Boldin for 2 yards (tackle by Matt Longacre),6.280,5.720
2,3:19,2,2,LAR 2,14,7,Matthew Stafford pass incomplete short left intended for Marvin Jones,5.720,4.950
2,3:12,3,2,LAR 2,14,7,Matthew Stafford pass incomplete short middle intended for Anquan Boldin,4.950,3.250
2,3:12,4,2,LAR 2,14,13,"Matthew Stafford pass complete short right to Andre Roberts for 2 yards, touchdown. Penalty on E.J. Gaines: Defensive Pass Interference (Declined)",3.250,7.000
2,3:12,,,LAR 2,14,14,Matt Prater kicks extra point good,0.000,0.000
2,3:12,,,DET 35,14,14,"Sam Martin kicks off 64 yards, returned by Benny Cunningham for 17 yards (tackle by Thurston Armbrister)",0.000,-0.040
2,3:03,1,10,LAR 18,14,14,Todd Gurley right end for 6 yards (tackle by Devin Taylor),0.040,0.410
2,2:32,2,4,LAR 24,14,14,Tavon Austin right tackle for no gain (tackle by A'Shawn Robinson),0.410,-0.400
2,2:00,3,4,LAR 24,14,14,Case Keenum pass complete short right to Benny Cunningham for 5 yards (tackle by Nevin Lawson),-0.400,0.870
2,1:56,1,10,LAR 29,14,14,Case Keenum pass complete short middle to Lance Kendricks for 7 yards (tackle by Rafael Bush),0.870,1.270
2,1:26,2,3,LAR 36,14,14,"Case Keenum pass incomplete short left intended for Tavon Austin. Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",1.270,-0.080
2,1:20,2,13,LAR 26,14,14,Case Keenum pass complete deep left to Kenny Britt for 43 yards (tackle by Darius Slay),-0.080,3.510
2,1:09,1,10,DET 31,14,14,"Case Keenum pass incomplete deep left intended for Tavon Austin. Penalty on Nevin Lawson: Defensive Pass Interference, 22 yards, Penalty on Khyri Thornton: Defensive Offside (Declined) (no play)",3.510,5.140
2,1:06,1,9,DET 9,14,14,"Case Keenum sacked by Devin Taylor for -9 yards. Case Keenum fumbles (forced by Devin Taylor), recovered by Case Keenum at DET-19",5.140,5.140
2,0:57,1,9,DET 9,14,14,Timeout #1 by Detroit Lions,5.140,3.070
2,0:57,2,19,DET 19,14,14,"Case Keenum pass incomplete deep right intended for Tavon Austin (defended by Nevin Lawson). Penalty on Glover Quin: Unnecessary Roughness, 10 yards (no play)",3.070,5.140
2,0:52,1,9,DET 9,14,14,Tavon Austin right end for -6 yards (tackle by Kerry Hyder),5.140,5.140
2,0:49,1,9,DET 9,14,14,Timeout #2 by Detroit Lions,5.140,3.460
2,0:49,2,15,DET 15,14,14,Case Keenum pass complete short right to Todd Gurley for 8 yards (tackle by Tahir Whitehead),3.460,3.460
2,0:49,2,15,DET 15,14,14,Timeout #3 by Detroit Lions,3.460,3.810
2,0:45,3,7,DET 7,14,14,Case Keenum pass complete short middle to Kenny Britt for 6 yards (tackle by Glover Quin and Rafael Bush),3.810,3.810
2,0:04,3,7,DET 7,14,14,Timeout #2 by Los Angeles Rams,3.810,3.550
