Quarter,Time,Tm,Detail,KAN,CIN
1.0,1:41,Bengals,Shayne Graham 38 yard field goal,0,3
2.0,10:57,Bengals,Cedric Benson 2 yard rush (Shayne Graham kick),0,10
,1:47,Bengals,Shayne Graham 30 yard field goal,0,13
4.0,6:21,Bengals,Shayne Graham 43 yard field goal,0,16
,2:20,Chiefs,Tony Gonzalez 5 yard pass from Tyler Thigpen (pass failed),6,16
