Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 46 yards, returned by Herbert Taylor for 14 yards (tackle by Darryl Blackstock)",0.000,1.470
1,14:53,1,10,KAN 38,0,0,Tyler Thigpen pass complete short middle to Devard Darling for 9 yards (tackle by Leon Hall),1.470,2.140
1,14:10,2,1,KAN 47,0,0,Tyler Thigpen pass complete short middle to Dwayne Bowe for 8 yards (tackle by Domata Peko),2.140,2.590
1,13:32,1,10,CIN 45,0,0,Larry Johnson right end for -2 yards (tackle by Chris Crocker),2.590,1.770
1,12:48,2,12,CIN 47,0,0,Tyler Thigpen pass incomplete short right intended for Dwayne Bowe (defended by Mike Doss),1.770,1.090
1,12:42,3,12,CIN 47,0,0,Tyler Thigpen pass incomplete deep left intended for Mark Bradley,1.090,0.130
1,12:36,4,12,CIN 47,0,0,"Dustin Colquitt punts 47 yards, touchback",0.130,-0.280
1,12:26,1,10,CIN 20,0,0,Andre Caldwell left end for 17 yards (tackle by Brandon Carr),0.280,1.400
1,12:02,1,10,CIN 37,0,0,Ryan Fitzpatrick pass complete short right to James Johnson for 7 yards (tackle by Bernard Pollard),1.400,1.800
1,11:38,2,3,CIN 44,0,0,"Penalty on Jason Babin: Defensive Offside, 5 yards (no play)",1.800,2.190
1,11:27,1,10,CIN 49,0,0,Cedric Benson left end for 2 yards (tackle by Jarrad Page),2.190,1.920
1,10:49,2,8,KAN 49,0,0,Cedric Benson right tackle for 12 yards (tackle by Bernard Pollard and Rocky Boiman),1.920,3.120
1,10:05,1,10,KAN 37,0,0,Cedric Benson left tackle for 3 yards (tackle by Glenn Dorsey and Demorrio Williams),3.120,2.980
1,9:31,2,7,KAN 34,0,0,Cedric Benson left tackle for 1 yard (tackle by Derrick O. Johnson),2.980,2.410
1,8:51,3,6,KAN 33,0,0,Ryan Fitzpatrick pass incomplete deep middle intended for Glenn Holt (defended by Jarrad Page),2.410,1.160
1,8:46,4,6,KAN 33,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Glenn Holt (defended by Brandon Flowers),1.160,-1.140
1,8:38,1,10,KAN 33,0,0,Tyler Thigpen pass complete short middle to Dwayne Bowe for 3 yards (tackle by Pat Sims),1.140,1.000
1,7:57,2,7,KAN 36,0,0,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,1.000,0.300
1,7:52,3,7,KAN 36,0,0,Tyler Thigpen pass incomplete short middle intended for Tony Gonzalez,0.300,-0.980
1,7:47,4,7,KAN 36,0,0,Dustin Colquitt punts 48 yards,-0.980,0.140
1,7:34,1,10,CIN 16,0,0,Ryan Fitzpatrick pass complete short left to Nate Lawrie for 4 yards (tackle by Rocky Boiman),-0.140,0.010
1,6:51,2,6,CIN 20,0,0,Ryan Fitzpatrick pass incomplete deep middle intended for Chris Henry,0.010,-0.820
1,6:44,3,6,CIN 20,0,0,Ryan Fitzpatrick pass complete short right to Glenn Holt for 10 yards (tackle by Jarrad Page),-0.820,0.940
1,6:04,1,10,CIN 30,0,0,Ryan Fitzpatrick pass complete short left to Andre Caldwell for 13 yards (tackle by Brandon Flowers),0.940,1.800
1,5:28,1,10,CIN 43,0,0,Cedric Benson right tackle for 2 yards (tackle by Demorrio Williams),1.800,1.520
1,4:38,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,1.520
1,4:38,2,8,CIN 45,0,0,"Cedric Benson left guard for 14 yards (tackle by Bernard Pollard). Cedric Benson fumbles (forced by Bernard Pollard), recovered by Cedric Benson at KAN-41",1.520,2.850
1,3:54,1,10,KAN 41,0,0,Ryan Fitzpatrick right end for 13 yards (tackle by Brandon Carr),2.850,3.710
1,3:12,1,10,KAN 28,0,0,Cedric Benson up the middle for 8 yards (tackle by Tamba Hali),3.710,4.250
1,2:31,2,2,KAN 20,0,0,Cedric Benson left tackle for -1 yards (tackle by Jason Babin and Glenn Dorsey),4.250,3.400
1,1:50,3,3,KAN 21,0,0,Ryan Fitzpatrick pass incomplete short middle intended for James Johnson (defended by Rocky Boiman),3.400,2.160
1,1:45,4,3,KAN 21,0,3,Shayne Graham 38 yard field goal good,2.160,3.000
1,,,,CIN 30,0,3,"Shayne Graham kicks off 58 yards, returned by Jon McGraw for 18 yards (tackle by Darryl Blackstock)",0.000,0.940
1,1:34,1,10,KAN 30,0,3,Larry Johnson right tackle for 7 yards (tackle by Mike Doss and Nedu Ndukwe),0.940,1.340
1,0:51,2,3,KAN 37,0,3,Tyler Thigpen pass complete short left to Mark Bradley for 9 yards (tackle by Leon Hall),1.340,1.990
1,0:18,1,10,KAN 46,0,3,Larry Johnson up the middle for -1 yards (tackle by Domata Peko),1.990,1.320
Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,KAN 45,0,3,Tyler Thigpen pass incomplete short right intended for Tony Gonzalez,1.320,0.630
2,14:56,3,11,KAN 45,0,3,Tyler Thigpen pass incomplete deep middle intended for Tony Gonzalez,0.630,-0.390
2,14:51,4,11,KAN 45,0,3,"Dustin Colquitt punts 44 yards, returned by Leon Hall for 2 yards (tackle by Oliver Celestin)",-0.390,0.320
2,14:36,1,10,CIN 13,0,3,Andre Caldwell left end for 26 yards (tackle by Brandon Flowers),-0.320,1.530
2,14:02,1,10,CIN 39,0,3,Cedric Benson left tackle for 4 yards (tackle by Bernard Pollard),1.530,1.530
2,13:16,2,6,CIN 43,0,3,Cedric Benson right tackle for 1 yard (tackle by Glenn Dorsey),1.530,0.960
2,12:32,3,5,CIN 44,0,3,Ryan Fitzpatrick pass complete short left to James Johnson for 9 yards (tackle by Rocky Boiman),0.960,2.460
2,11:54,1,10,KAN 47,0,3,"Ryan Fitzpatrick pass incomplete deep right intended for Chris Henry. Penalty on Brandon Carr: Defensive Pass Interference, 31 yards (no play)",2.460,4.510
2,11:48,1,10,KAN 16,0,3,Cedric Benson right end for 14 yards (tackle by Rocky Boiman),4.510,6.740
2,11:02,1,2,KAN 2,0,9,"Cedric Benson right tackle for 2 yards, touchdown",6.740,7.000
2,,,,KAN 2,0,10,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,0,10,"Shayne Graham kicks off 59 yards, returned by Jamaal Charles for 20 yards (tackle by Jim Maxwell)",0.000,1.000
2,10:51,1,10,KAN 31,0,10,Tyler Thigpen pass complete short right to Dwayne Bowe for 9 yards (tackle by Brandon Johnson). Penalty on Domata Peko: Defensive Offside (Declined),1.000,1.680
2,10:32,2,1,KAN 40,0,10,Tyler Thigpen pass incomplete short middle intended for Jamaal Charles (defended by Domata Peko),1.680,0.960
2,10:28,3,1,KAN 40,0,10,Larry Johnson right guard for no gain (tackle by Dhani Jones and Pat Sims),0.960,-0.720
2,9:45,4,1,KAN 40,0,10,"Dustin Colquitt punts 55 yards, returned by Leon Hall for 2 yards (tackle by DaJuan Morgan)",-0.720,0.380
2,9:33,1,10,CIN 7,0,10,Cedric Benson left guard for 3 yards (tackle by Glenn Dorsey and Rocky Boiman),-0.380,-0.560
2,8:56,2,7,CIN 10,0,10,Ryan Fitzpatrick pass complete short right to Andre Caldwell for 5 yards (tackle by Tamba Hali),-0.560,-0.480
2,8:13,,,,0,10,Timeout #2 by Cincinnati Bengals,0.000,-0.480
2,8:13,3,2,CIN 15,0,10,"Andre Caldwell left end for 1 yard (tackle by Tamba Hali). Penalty on Jason Babin: Face Mask (15 Yards), 15 yards, Penalty on Ron Edwards: Defensive Offside (Declined)",-0.480,1.000
2,7:53,1,10,CIN 31,0,10,Cedric Benson right tackle for no gain (tackle by Derrick O. Johnson),1.000,0.460
2,7:15,2,10,CIN 31,0,10,Ryan Fitzpatrick pass complete short right to Nate Lawrie for 7 yards (tackle by Rocky Boiman),0.460,0.700
2,6:33,3,3,CIN 38,0,10,Ryan Fitzpatrick pass complete short left to Chris Henry for 15 yards (tackle by Patrick Surtain),0.700,2.460
2,5:48,1,10,KAN 47,0,10,Ryan Fitzpatrick pass complete short right to Cedric Benson for 16 yards (tackle by Demorrio Williams),2.460,3.510
2,4:58,,,,0,10,Timeout #3 by Cincinnati Bengals,0.000,3.510
2,4:58,1,10,KAN 31,0,10,Ryan Fitzpatrick pass complete short middle to Reggie Kelly for 5 yards (tackle by Demorrio Williams),3.510,3.640
2,4:16,2,5,KAN 26,0,10,Ryan Fitzpatrick pass incomplete short left intended for Glenn Holt,3.640,2.940
2,4:11,3,5,KAN 26,0,10,Ryan Fitzpatrick pass complete short middle to Andre Caldwell for 6 yards (tackle by Brandon Flowers),2.940,4.240
2,3:30,1,10,KAN 20,0,10,"Penalty on Anthony Collins: False Start, 5 yards (no play)",4.240,3.910
2,3:18,1,15,KAN 25,0,10,Ryan Fitzpatrick pass complete short left to Andre Caldwell for 11 yards (tackle by Rocky Boiman),3.910,4.640
2,2:53,2,4,KAN 14,0,10,Ryan Fitzpatrick right end for 4 yards (tackle by Tank Tyler),4.640,4.910
2,2:08,1,10,KAN 10,0,10,Ryan Fitzpatrick pass incomplete short right intended for Nate Lawrie,4.910,4.190
2,2:01,2,10,KAN 10,0,10,Cedric Benson up the middle for -2 yards (tackle by Derrick O. Johnson),4.190,3.100
2,1:55,3,12,KAN 12,0,10,Ryan Fitzpatrick pass incomplete short middle intended for Ben Utecht,3.100,2.630
2,1:51,4,12,KAN 12,0,13,Shayne Graham 30 yard field goal good,2.630,3.000
2,,,,CIN 30,0,13,"Shayne Graham kicks off 67 yards, returned by Jamaal Charles for 14 yards (tackle by John Busing)",0.000,-0.060
2,1:41,1,10,KAN 17,0,13,Tyler Thigpen pass incomplete deep left intended for Dwayne Bowe,-0.060,-0.580
2,1:36,2,10,KAN 17,0,13,Tyler Thigpen pass incomplete deep right intended for Mark Bradley,-0.580,-1.250
2,1:29,3,10,KAN 17,0,13,Jamaal Charles right guard for 8 yards (tackle by Dhani Jones),-1.250,-1.700
2,0:44,,,,0,13,Timeout #1 by Kansas City Chiefs,0.000,-1.700
2,0:44,4,2,KAN 25,0,13,"Dustin Colquitt punts 38 yards, returned by Leon Hall for 12 yards (tackle by Oliver Celestin)",-1.700,-2.190
2,0:30,1,10,CIN 49,0,13,Ryan Fitzpatrick pass complete short middle to Ben Utecht for 7 yards (tackle by Jason Babin),2.190,2.590
2,0:09,2,3,KAN 44,0,13,"Ryan Fitzpatrick pass incomplete short middle intended for Andre Caldwell (defended by Glenn Dorsey). Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at CIN-KC",2.590,1.880
2,0:03,3,3,KAN 44,0,13,Ryan Fitzpatrick pass incomplete deep middle intended for Ben Utecht,1.880,0.330
Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,0,13,"Connor Barth kicks off 72 yards, returned by Andre Caldwell for 17 yards (tackle by Curtis Gatewood)",0.000,-0.220
3,14:54,1,10,CIN 15,0,13,Cedric Benson left tackle for 2 yards (tackle by Derrick O. Johnson and Jason Babin),-0.220,-0.440
