Unnamed: 0,KAN,CIN
First Downs,14,23
Rush-Yds-TDs,15-31-0,39-204-1
Cmp-Att-Yd-TD-INT,19-36-191-1-0,18-30-129-0-0
Sacked-Yards,1-2,1-4
Net Pass Yards,189,125
Total Yards,220,329
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,6-73,4-43
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-1,0-1
Time of Possession,22:21,37:39
