Quarter,Time,Tm,Detail,NOR,PHI
1.0,10:54,Saints,Marques Colston 15 yard pass from Drew Brees (John Carney kick),7,0
,9:03,Eagles,DeSean Jackson 71 yard pass from Kevin Kolb (David Akers kick),7,7
,1:54,Saints,John Carney 23 yard field goal,10,7
2.0,2:38,Eagles,David Akers 23 yard field goal,10,10
,0:43,Saints,Marques Colston 25 yard pass from Drew Brees (John Carney kick),17,10
,0:00,Eagles,David Akers 32 yard field goal,17,13
3.0,13:39,Saints,Heath Evans 11 yard pass from Drew Brees (John Carney kick),24,13
,11:39,Saints,Mike Bell 7 yard rush (John Carney kick),31,13
,4:10,Saints,John Carney 25 yard field goal,34,13
,0:29,Eagles,Jason Avant 3 yard pass from Kevin Kolb (David Akers kick),34,20
4.0,9:36,Saints,Reggie Bush 19 yard rush (John Carney kick),41,20
,3:35,Eagles,"Safety, Drew Brees fumbled ball out of end zone.",41,22
,0:55,Saints,Darren Sharper 97 yard interception return (John Carney kick),48,22
