Unnamed: 0,NOR,PHI
First Downs,23,23
Rush-Yds-TDs,29-133-2,22-79-0
Cmp-Att-Yd-TD-INT,25-34-311-3-1,31-52-391-2-3
Sacked-Yards,2-23,1-7
Net Pass Yards,288,384
Total Yards,421,463
Fumbles-Lost,2-0,1-1
Turnovers,1,4
Penalties-Yards,3-13,7-45
Third Down Conv.,6-13,7-16
Fourth Down Conv.,0-1,1-2
Time of Possession,30:26,29:34
