Quarter,Time,Tm,Detail,CAR,TAM
1.0,4:44,Panthers,Greg Olsen 1 yard pass from Cam Newton (Graham Gano kick),7,0
,1:24,Buccaneers,Rian Lindell 47 yard field goal,7,3
2.0,12:42,Panthers,DeAngelo Williams 12 yard rush (Graham Gano kick),14,3
,4:03,Buccaneers,Rian Lindell 48 yard field goal,14,6
3.0,6:27,Panthers,Cam Newton 6 yard rush (Graham Gano kick),21,6
4.0,14:55,Panthers,Mike Tolbert 3 yard pass from Cam Newton (Graham Gano kick),28,6
,6:14,Panthers,Graham Gano 29 yard field goal,31,6
,2:53,Buccaneers,Tim Wright 10 yard pass from Mike Glennon (Rian Lindell kick),31,13
