Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TAM 20,0,0,Mike Glennon pass complete short right to Erik Lorig for 2 yards (tackle by Chase Blackburn and Luke Kuechly),0.280,0.000
1,14:27,2,8,TAM 22,0,0,Mike James right guard for 4 yards (tackle by Quintin Mikell),0.000,-0.160
1,13:49,3,4,TAM 26,0,0,Mike Glennon pass incomplete short left intended for Vincent Jackson,-0.160,-1.630
1,13:44,4,4,TAM 26,0,0,"Michael Koenen punts 44 yards, fair catch by Ted Ginn",-1.630,-0.940
1,13:36,1,10,CAR 30,0,0,"Cam Newton pass complete short right to Mike Tolbert for 6 yards (tackle by Mark Barron). Penalty on Mike Tolbert: Personal Foul, 15 yards",0.940,0.340
1,13:17,1,19,CAR 21,0,0,"Cam Newton pass incomplete intended for Brandon LaFell. Penalty on Darrelle Revis: Defensive Pass Interference, 3 yards (no play)",0.340,0.540
1,13:07,1,10,CAR 24,0,0,Cam Newton pass complete short left to Mike Tolbert for 10 yards (tackle by Lavonte David),0.540,1.200
1,12:26,1,10,CAR 34,0,0,Mike Tolbert up the middle for 1 yard (tackle by Gerald McCoy),1.200,0.790
1,11:45,2,9,CAR 35,0,0,Cam Newton pass incomplete short left intended for Steve Smith (defended by Darrelle Revis),0.790,0.100
1,11:40,3,9,CAR 35,0,0,Cam Newton pass complete deep middle to Steve Smith for 21 yards (tackle by Lavonte David),0.100,2.650
1,10:57,1,10,TAM 44,0,0,Cam Newton pass complete short right to Brandon LaFell for 5 yards (tackle by Johnthan Banks and Mark Barron),2.650,2.780
1,10:13,2,5,TAM 39,0,0,Cam Newton pass complete short right to Greg Olsen for 4 yards (tackle by Mark Barron),2.780,2.610
1,9:33,3,1,TAM 35,0,0,Cam Newton up the middle for 2 yards (tackle by Adrian Clayborn and Mason Foster),2.610,3.380
1,8:53,1,10,TAM 33,0,0,Cam Newton sacked by Lavonte David for -12 yards,3.380,1.220
1,8:15,2,22,TAM 45,0,0,Cam Newton pass complete short middle to Steve Smith for 10 yards (tackle by Michael Adams),1.220,1.880
1,7:35,3,12,TAM 35,0,0,Cam Newton left end for 16 yards (tackle by Mason Foster),1.880,4.310
1,6:50,1,10,TAM 19,0,0,DeAngelo Williams left end for 10 yards,4.310,5.140
1,6:13,1,9,TAM 9,0,0,DeAngelo Williams left guard for 3 yards (tackle by Keith Tandy),5.140,4.950
1,5:35,2,6,TAM 6,0,0,Cam Newton left end for 5 yards (tackle by Keith Tandy and Jonathan Casillas),4.950,5.170
1,4:52,3,1,TAM 1,6,0,"Cam Newton pass complete short left to Greg Olsen for 1 yard, touchdown",5.170,7.000
1,4:52,,,TAM 2,7,0,Graham Gano kicks extra point good,0.000,0.000
1,4:52,,,CAR 35,7,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,4:44,1,10,TAM 20,7,0,Mike Glennon pass complete short left to Tom Crabtree for no gain,0.280,-0.270
1,4:12,2,10,TAM 20,7,0,Mike James right end for no gain (tackle by Greg Hardy and Colin Cole),-0.270,-0.960
1,3:37,3,10,TAM 20,7,0,Mike Glennon pass complete deep right to Vincent Jackson for 29 yards (tackle by Michael Mitchell),-0.960,2.190
1,2:58,1,10,TAM 49,7,0,Mike Glennon pass complete short middle to Mike James for 20 yards (tackle by Luke Kuechly),2.190,3.510
1,2:19,1,10,CAR 31,7,0,Mike James up the middle for 2 yards (tackle by Star Lotulelei),3.510,3.510
1,1:42,1,10,CAR 31,7,0,Timeout #1 by Tampa Bay Buccaneers,3.510,3.240
1,1:42,2,8,CAR 29,7,0,Mike Glennon pass incomplete deep left intended for Tom Crabtree (defended by Thomas Davis),3.240,2.540
1,1:35,3,8,CAR 29,7,0,Mike Glennon pass incomplete short right intended for Tim Wright,2.540,1.500
1,1:29,4,8,CAR 29,7,3,Rian Lindell 47 yard field goal good,1.500,3.000
1,1:29,,,TAM 35,7,3,"Rian Lindell kicks off 68 yards, returned by Ted Ginn for 23 yards (tackle by Michael Adams)",0.000,-0.280
1,1:17,1,10,CAR 20,7,3,Mike Tolbert up the middle for 4 yards (tackle by Adrian Clayborn and Dekoda Watson),0.280,0.270
1,0:44,2,6,CAR 24,7,3,Mike Tolbert left end for 22 yards (tackle by Johnthan Banks),0.270,1.990
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 46,7,3,Cam Newton right end for 1 yard (tackle by Mason Foster),1.990,1.590
2,14:15,2,9,CAR 47,7,3,Cam Newton pass complete short middle to Steve Smith for 6 yards (tackle by Mason Foster and Lavonte David),1.590,1.690
2,13:30,3,3,TAM 47,7,3,Cam Newton pass complete short middle to Ted Ginn for 35 yards (tackle by Leonard Johnson),1.690,4.780
2,12:50,1,10,TAM 12,13,3,"DeAngelo Williams left guard for 12 yards, touchdown",4.780,7.000
2,12:50,,,TAM 2,14,3,Graham Gano kicks extra point good,0.000,0.000
2,12:50,,,CAR 35,14,3,"Graham Gano kicks off 71 yards, returned by Eric Page for 17 yards (tackle by Colin Jones)",0.000,0.370
2,12:36,1,10,TAM 11,14,3,Mike James up the middle for 1 yard (tackle by Colin Cole),-0.370,-0.710
2,11:58,2,9,TAM 12,14,3,Mike James right guard for 15 yards (tackle by Melvin White and Captain Munnerlyn),-0.710,0.740
2,11:20,1,10,TAM 27,14,3,Mike Glennon pass incomplete short right intended for Mike James (defended by Thomas Davis),0.740,0.200
2,11:15,2,10,TAM 27,14,3,Brian Leonard left end for 7 yards (tackle by Luke Kuechly),0.200,0.430
2,10:38,3,3,TAM 34,14,3,"Mike Glennon for no gain. Ted Larsen fumbles, recovered by Ted Larsen at TAM-TB",0.430,-1.770
2,10:04,4,13,TAM 24,14,3,"Michael Koenen punts 51 yards, returned by Ted Ginn for 2 yards (tackle by Jonathan Casillas)",-1.770,-0.740
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,9:53,1,10,CAR 27,14,3,Cam Newton pass incomplete deep right intended for Ted Ginn,0.740,0.200
2,9:46,2,10,CAR 27,14,3,Cam Newton pass complete short right to Domenik Hixon for 4 yards (tackle by Leonard Johnson),0.200,0.040
2,9:07,3,6,CAR 31,14,3,Cam Newton pass incomplete short middle intended for Steve Smith (defended by Darrelle Revis),0.040,-1.310
2,9:01,4,6,CAR 31,14,3,"Brad Nortman punts 42 yards, returned by Eric Page for no gain",-1.310,-0.740
2,8:52,1,10,TAM 27,14,3,Mike James right tackle for 3 yards (tackle by Michael Mitchell),0.740,0.600
2,8:25,2,7,TAM 30,14,3,Mike Glennon pass incomplete short left intended for Mike Williams,0.600,-0.100
2,8:18,3,7,TAM 30,14,3,Mike Glennon pass complete short left to Tiquan Underwood for 16 yards (tackle by Captain Munnerlyn),-0.100,1.990
2,7:52,1,10,TAM 46,14,3,Mike Glennon pass complete short right to Mike Williams for 12 yards (tackle by Captain Munnerlyn),1.990,2.790
2,7:14,1,10,CAR 42,14,3,Mike James up the middle for 7 yards (tackle by Kawann Short and Michael Mitchell),2.790,3.190
2,6:39,2,3,CAR 35,14,3,Mike James left guard for 4 yards (tackle by Michael Mitchell),3.190,3.510
2,6:06,1,10,CAR 31,14,3,Mike Glennon pass complete short right to Mike James for -2 yards (tackle by Quintin Mikell),3.510,2.700
2,5:24,2,12,CAR 33,14,3,Mike Glennon pass complete short left to Brian Leonard for 7 yards (tackle by Melvin White),2.700,2.940
2,4:41,3,5,CAR 26,14,3,"Mike Glennon for no gain. Ted Larsen fumbles, recovered by Ted Larsen at TAM-CAR",2.940,1.410
2,4:09,4,9,CAR 30,14,6,Rian Lindell 48 yard field goal good,1.410,3.000
2,4:09,,,TAM 35,14,6,"Rian Lindell kicks off 65 yards, touchback",0.000,-0.280
2,4:03,1,10,CAR 20,14,6,DeAngelo Williams up the middle for -1 yards (tackle by Lavonte David),0.280,-0.460
2,3:25,2,11,CAR 19,14,6,Cam Newton pass complete short left to Ted Ginn for 17 yards (tackle by Keith Tandy),-0.460,1.330
2,2:47,1,10,CAR 36,14,6,Cam Newton pass incomplete deep right intended for Steve Smith,1.330,0.790
2,2:40,2,10,CAR 36,14,6,Cam Newton pass complete short right to Ted Ginn for 17 yards (tackle by Leonard Johnson),0.790,2.460
2,2:00,1,10,TAM 47,14,6,Cam Newton pass incomplete deep middle intended for Brandon LaFell,2.460,1.910
2,1:54,2,10,TAM 47,14,6,Cam Newton sacked by Michael Adams for -7 yards,1.910,0.300
2,1:12,3,17,CAR 46,14,6,Cam Newton pass complete short left to Brandon LaFell for 13 yards (tackle by Lavonte David),0.300,0.300
2,0:59,3,17,CAR 46,14,6,Timeout #2 by Tampa Bay Buccaneers,0.300,0.530
2,0:59,4,4,TAM 41,14,6,"Brad Nortman punts 31 yards, fair catch by Eric Page",0.530,0.380
2,0:53,1,10,TAM 10,14,6,Mike Glennon pass complete short middle to Brian Leonard for 6 yards (tackle by Thomas Davis and Luke Kuechly),-0.380,-0.230
2,0:32,2,4,TAM 16,14,6,Mike Glennon pass complete deep middle to Tiquan Underwood for 24 yards (tackle by Captain Munnerlyn),-0.230,-0.230
2,0:26,2,4,TAM 16,14,6,Timeout #3 by Tampa Bay Buccaneers,-0.230,1.600
2,0:26,1,10,TAM 40,14,6,Mike Glennon sacked by Greg Hardy for -10 yards,1.600,-0.300
2,0:03,2,20,TAM 30,14,6,Mike Glennon pass complete short middle to Tim Wright for 10 yards (tackle by Thomas Davis),-0.300,0.370
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,14,6,"Rian Lindell kicks off 68 yards, returned by Ted Ginn for 21 yards (tackle by Tiquan Underwood)",0.000,-0.040
3,14:53,1,10,CAR 18,14,6,DeAngelo Williams left guard for 7 yards (tackle by Keith Tandy),0.040,0.550
3,14:19,2,3,CAR 25,14,6,Cam Newton pass complete short right to Brandon LaFell for 5 yards (tackle by Johnthan Banks),0.550,0.940
3,13:39,1,10,CAR 30,14,6,Cam Newton pass incomplete short middle intended for DeAngelo Williams,0.940,0.390
3,13:34,2,10,CAR 30,14,6,Cam Newton left end for -2 yards (tackle by Adrian Clayborn),0.390,-0.560
3,12:58,3,12,CAR 28,14,6,Cam Newton pass complete short middle to Kenjon Barner for 2 yards (tackle by Lavonte David),-0.560,-1.370
3,12:19,4,10,CAR 30,14,6,"Brad Nortman punts 59 yards, returned by Eric Page for 6 yards (tackle by Jordan Senn)",-1.370,0.060
3,12:06,1,10,TAM 17,14,6,Mike James left end for 1 yard (tackle by Star Lotulelei),-0.060,-0.420
3,11:30,2,9,TAM 18,14,6,Mike Glennon pass incomplete deep left intended for Vincent Jackson,-0.420,-1.130
3,11:22,3,9,TAM 18,14,6,Mike Glennon pass incomplete deep middle intended for Mike Williams. Penalty on Donald Penn: Offensive Holding (Declined),-1.130,-2.240
3,11:14,4,9,TAM 18,14,6,"Michael Koenen punts 40 yards, returned by Ted Ginn for 5 yards (tackle by Russell Shepard)",-2.240,-2.060
