Unnamed: 0,CAR,TAM
First Downs,21,19
Rush-Yds-TDs,27-129-2,14-48-0
Cmp-Att-Yd-TD-INT,23-32-221-2-0,30-51-275-1-0
Sacked-Yards,3-26,3-26
Net Pass Yards,195,249
Total Yards,324,297
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,6-59,3-21
Third Down Conv.,5-12,4-14
Fourth Down Conv.,1-1,0-2
Time of Possession,34:33,25:27
