0,1
Game Info,Game Info
Won Toss,Buccaneers
Won OT Toss,Buccaneers
Roof,outdoors
Surface,grass
Duration,3:43
Attendance,65647
Weather,"82 degrees, relative humidity 60%, no wind, wind chill 0"
Vegas Line,Tampa Bay Buccaneers -4.5
Over/Under,37.5 (over)
