Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
1,6:54,1,10,TAM 20,0,7,"Michael Pittman left end for 8 yards (tackle by Nick Harper). Penalty on Todd Yoder: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,6:32,1,20,TAM 10,0,7,Brad Johnson pass complete to Keyshawn Johnson for 8 yards (tackle by Jim Nelson),-0.760,-0.630
1,5:48,2,12,TAM 18,0,7,Brad Johnson pass complete to Keyshawn Johnson for 15 yards (tackle by Walt Harris and Mike Doss),-0.630,1.140
1,5:17,1,10,TAM 33,0,13,"Brad Johnson pass incomplete intended for Ken Dilger is intercepted by Mike Doss at IND-41 and returned for 15 yards (tackle by John Wade). Mike Doss fumbles (forced by John Wade), recovered by Keenan McCardell at TAM-43 and returned for 57 yards, touchdown",1.140,7.000
1,,,,TAM 2,0,20,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,TAM 30,0,21,"Martin Gramatica kicks off 69 yards, returned by Brad Pyatt for 23 yards (tackle by Tim Wansley). Penalty on Detron Smith: Unnecessary Roughness, 12 yards",0.000,-0.350
1,4:55,1,10,IND 12,0,21,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by Ronde Barber),-0.350,0.740
1,4:12,1,10,IND 27,0,21,"Penalty on Dallas Clark: False Start, 5 yards (no play)",0.740,0.410
1,3:51,1,15,IND 22,0,21,Peyton Manning pass complete to Dallas Clark for 8 yards (tackle by Ryan Nece and Nate Webster),0.410,0.600
1,3:02,2,7,IND 30,0,21,Ricky Williams right tackle for 4 yards (tackle by Warren Sapp),0.600,0.430
1,2:28,3,3,IND 34,0,21,Peyton Manning pass complete to Marvin Harrison for 2 yards (tackle by Tim Wansley and Nate Webster),0.430,-0.980
1,1:51,4,1,IND 36,0,21,"Hunter Smith punts 54 yards, returned by Karl Williams for 19 yards (tackle by Clifton Crosby)",-0.980,-0.870
1,1:37,1,10,TAM 29,0,21,Michael Pittman up the middle for 3 yards (tackle by Larry Tripplett),0.870,0.730
1,0:53,2,7,TAM 32,0,21,Brad Johnson pass complete to Ken Dilger for 6 yards (tackle by Nick Harper and David Thornton),0.730,0.830
1,0:27,3,1,TAM 38,0,21,Brad Johnson up the middle for 2 yards (tackle by Larry Tripplett),0.830,1.600
Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 40,0,21,Brad Johnson pass complete to Keyshawn Johnson for 25 yards (tackle by Nick Harper and Mike Doss),1.600,3.250
2,14:20,1,10,IND 35,0,21,Michael Pittman left guard for 8 yards (tackle by David Thornton),3.250,3.780
2,13:39,2,2,IND 27,0,21,Michael Pittman up the middle for 12 yards (tackle by Rob Morris and Mike Doss),3.780,4.580
2,12:55,1,10,IND 15,0,21,Aaron Stecker up the middle for 2 yards (tackle by Raheem Brock and Marcus Washington),4.580,4.280
2,12:15,2,8,IND 13,0,21,Brad Johnson pass complete to Ken Dilger for 10 yards (tackle by Marcus Washington and Mike Doss),4.280,6.510
2,11:29,1,3,IND 3,0,21,Mike Alstott right guard for 1 yard (tackle by Raheem Brock and David Thornton),6.510,5.720
2,10:53,2,2,IND 2,0,21,Mike Alstott up the middle for -1 yards (tackle by David Thornton),5.720,4.720
2,10:22,,,,0,14,Timeout #2 by Tampa Bay Buccaneers,0.000,4.720
2,10:22,3,3,IND 3,6,21,"Brad Johnson pass complete to Reggie Barlow for 3 yards, touchdown. Penalty on Marcus Washington: Unnecessary Roughness, 15 yards",4.720,-7.000
2,,,,IND 2,7,21,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,TAM 45,7,21,"Martin Gramatica kicks off 55 yards, returned by Brad Pyatt for 15 yards (tackle by Corey Ivy)",0.000,-0.220
2,10:10,1,10,IND 15,7,21,Dominic Rhodes up the middle for 2 yards (tackle by Simeon Rice and Warren Sapp),-0.220,-0.440
2,9:33,2,8,IND 17,7,21,Peyton Manning pass complete to Marcus Pollard for 13 yards (tackle by Dwight Smith),-0.440,0.940
2,8:47,1,10,IND 30,7,21,Dominic Rhodes left tackle for 1 yard (tackle by Derrick Brooks),0.940,0.530
2,8:07,2,9,IND 31,7,21,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Tim Wansley and Ellis Wyms),0.530,0.370
2,7:28,3,5,IND 35,7,21,Peyton Manning pass complete to Dominic Rhodes for 4 yards (tackle by Tim Wansley),0.370,-0.780
2,6:53,4,1,IND 39,7,21,"Hunter Smith punts 47 yards, fair catch by Karl Williams",-0.780,0.280
2,6:43,1,10,TAM 14,7,21,Aaron Stecker left end for 2 yards (tackle by Rob Morris and Nick Harper),-0.280,-0.510
2,6:06,2,8,TAM 16,7,21,Brad Johnson pass incomplete intended for Keenan McCardell,-0.510,-1.160
2,5:58,3,8,TAM 16,7,21,Brad Johnson pass complete to Aaron Stecker for no gain,-1.160,-2.390
2,5:15,4,8,TAM 16,7,21,"Tom Tupa punts 54 yards, returned by Brad Pyatt for 2 yards (tackle by Jack Golden). Penalty on Detron Smith: Defensive Holding, 5 yards (no play)",-2.390,0.340
2,5:02,1,10,TAM 21,7,21,Michael Pittman left guard for 5 yards (tackle by Rob Morris),0.340,0.480
2,4:18,2,5,TAM 26,7,21,Brad Johnson pass incomplete intended for Ken Dilger (defended by Dwight Freeney),0.480,-0.230
2,4:14,3,5,TAM 26,7,21,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Chad Bratzke: Defensive Offside, 5 yards (no play)",-0.230,1.000
2,4:08,1,10,TAM 31,7,21,"Michael Pittman up the middle for 2 yards (tackle by Jim Nelson). Penalty on John Wade: Offensive Holding, 10 yards (no play)",1.000,0.340
2,3:47,1,20,TAM 21,7,21,Brad Johnson pass complete to Ken Dilger for 10 yards (tackle by David Thornton),0.340,0.460
2,3:23,2,10,TAM 31,7,21,Brad Johnson pass complete to Michael Pittman for 7 yards (tackle by Dwight Freeney),0.460,0.700
2,2:43,3,3,TAM 38,7,21,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Nick Harper: Illegal Use of Hands, 5 yards (no play)",0.700,1.800
2,2:37,1,10,TAM 43,7,21,"Brad Johnson for 6 yards (tackle by David Thornton). Penalty on John Wade: Offensive Holding, 10 yards (no play)",1.800,1.140
2,2:12,1,20,TAM 33,7,21,Michael Pittman for 10 yards (tackle by Mike Doss and Idrees Bashir),1.140,1.250
2,2:00,2,10,TAM 43,7,21,Brad Johnson pass incomplete intended for Ken Dilger,1.250,0.560
2,1:54,3,10,TAM 43,7,21,Brad Johnson pass complete to Michael Pittman for 5 yards (tackle by Nick Harper),0.560,-0.190
2,1:41,,,,0,21,Timeout #1 by Indianapolis Colts,0.000,-0.190
2,1:41,4,5,TAM 48,7,21,Tom Tupa punts 51 yards,-0.190,0.380
2,1:30,1,10,IND 1,7,21,James Mungro up the middle for 5 yards (tackle by John Lynch),-0.380,-0.420
2,1:06,2,5,IND 6,7,21,Peyton Manning pass complete to Marvin Harrison for 10 yards (tackle by Tim Wansley and Nate Webster),-0.420,-0.140
2,0:58,,,,0,21,Timeout #2 by Indianapolis Colts,0.000,-0.140
2,0:58,1,10,IND 16,7,21,Peyton Manning pass incomplete intended for James Mungro,-0.140,-0.660
2,0:53,2,10,IND 16,7,21,Peyton Manning pass incomplete intended for Troy Walters (defended by Derrick Brooks),-0.660,-1.320
2,0:47,3,10,IND 16,7,21,Peyton Manning pass complete to Dallas Clark for -1 yards (tackle by Ellis Wyms and John Lynch),-1.320,-2.440
2,0:37,,,,0,21,Timeout #3 by Tampa Bay Buccaneers,0.000,-2.440
2,0:37,4,11,IND 15,7,21,"Hunter Smith punts 51 yards, returned by Karl Williams for 9 yards (tackle by Jason Doering)",-2.440,-1.800
2,0:25,1,10,TAM 43,7,21,Brad Johnson pass complete to Ken Dilger for 15 yards (tackle by Nick Harper and Idrees Bashir),1.800,2.790
2,0:12,1,10,IND 42,7,21,Brad Johnson spiked the ball,2.790,2.240
2,0:11,2,10,IND 42,7,21,Brad Johnson pass incomplete intended for Keyshawn Johnson (defended by David Macklin),2.240,1.550
2,0:04,3,10,IND 42,7,21,Martin Gramatica 60 yard field goal no good,1.550,2.190
Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
