Unnamed: 0,IND,TAM
First Downs,24,25
Rush-Yds-TDs,22-74-3,33-139-0
Cmp-Att-Yd-TD-INT,34-47-386-2-1,26-39-318-3-1
Sacked-Yards,1-5,0-0
Net Pass Yards,381,318
Total Yards,455,457
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,11-80,11-111
Third Down Conv.,5-15,6-14
Fourth Down Conv.,2-2,0-0
Time of Possession,32:48,38:18
