Unnamed: 0,CLE,OAK
First Downs,18,18
Rush-Yds-TDs,21-65-0,40-151-1
Cmp-Att-Yd-TD-INT,21-45-215-2-0,15-24-187-1-0
Sacked-Yards,2-12,2-9
Net Pass Yards,203,178
Total Yards,268,329
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,5-34,5-35
Third Down Conv.,8-16,8-16
Fourth Down Conv.,0-1,2-3
Time of Possession,25:19,34:41
