Quarter,Time,Down,ToGo,Location,CLE,OAK,Detail,EPB,EPA
1,1:53,1,15,OAK 20,0,7,Jason Campbell pass complete short middle to Darrius Heyward-Bey for 21 yards (tackle by T.J. Ward and Dimitri Patterson),0.280,1.660
1,1:14,1,10,OAK 41,0,7,Denarius Moore left end for -3 yards (tackle by Phil Taylor),1.660,0.720
1,0:30,2,13,OAK 38,0,7,"Jason Campbell up the middle for 9 yards. Jason Campbell fumbles, recovered by Mike Adams at CLE-43 (tackle by Darren McFadden)",0.720,-1.800
1,0:17,1,10,CLE 43,0,7,Colt McCoy pass complete short left to Evan Moore for 11 yards (tackle by Trevor Scott),1.800,2.520
Quarter,Time,Down,ToGo,Location,CLE,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 46,0,7,Montario Hardesty for -1 yards,2.520,1.840
2,14:32,2,11,OAK 47,0,7,Colt McCoy pass incomplete deep left intended for Greg Little,1.840,1.160
2,14:26,,,,0,7,Timeout #2 by Cleveland Browns,0.000,1.160
2,14:26,3,11,OAK 47,0,7,"Colt McCoy pass incomplete deep left intended for Josh Cribbs. Penalty on Tommy Kelly: Defensive Offside, 5 yards (no play)",1.160,1.820
2,14:19,3,6,OAK 42,0,7,Colt McCoy pass complete short left to Josh Cribbs for 23 yards (tackle by Matt Giordano),1.820,4.310
2,13:37,1,10,OAK 19,0,7,Montario Hardesty left tackle for 3 yards (tackle by Tommy Kelly),4.310,4.180
2,12:58,2,7,OAK 16,0,7,Colt McCoy pass complete short right to Greg Little for 15 yards (tackle by Michael Mitchell),4.180,6.970
2,12:12,1,1,OAK 1,6,7,"Colt McCoy pass complete short left to Alex Smith for 1 yard, touchdown",6.970,7.000
2,,,,OAK 2,7,7,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 35,7,13,"Phil Dawson kicks off 66 yards, returned by Jacoby Ford for 101 yards, touchdown",0.000,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,,,,CLE 2,7,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,7,14,"Sebastian Janikowski kicks off 67 yards, returned by Josh Cribbs for 15 yards (tackle by Quentin Groves)",0.000,-0.320
2,11:48,1,10,CLE 13,7,14,Peyton Hillis left end for 5 yards (tackle by Aaron Curry and Desmond Bryant),-0.320,-0.140
2,11:03,2,5,CLE 18,7,14,"Colt McCoy pass complete short right to Peyton Hillis for 16 yards (tackle by Tyvon Branch). Penalty on CLE: Illegal Shift, 5 yards (no play)",-0.140,-0.770
2,10:37,2,10,CLE 13,7,14,Montario Hardesty up the middle for no gain (tackle by Rolando McClain),-0.770,-1.420
2,9:58,3,10,CLE 13,7,14,Colt McCoy pass complete short left to Greg Little for 12 yards (tackle by Michael Mitchell),-1.420,0.610
2,9:21,1,10,CLE 25,7,14,Colt McCoy up the middle for 4 yards (tackle by Desmond Bryant),0.610,0.600
2,8:43,2,6,CLE 29,7,14,Montario Hardesty right tackle for 5 yards (tackle by Tyvon Branch and Stanford Routt),0.600,0.560
2,8:02,3,1,CLE 34,7,14,Colt McCoy pass complete short right to Evan Moore for 4 yards (tackle by Rolando McClain),0.560,1.470
2,7:28,1,10,CLE 38,7,14,Colt McCoy pass incomplete short middle intended for Mohamed Massaquoi,1.470,0.920
2,7:23,2,10,CLE 38,7,14,Colt McCoy pass complete short left to Alex Smith for 13 yards (tackle by Aaron Curry),0.920,2.320
2,6:54,1,10,OAK 49,7,14,Montario Hardesty right tackle for 6 yards (tackle by Rolando McClain),2.320,2.590
2,6:16,2,4,OAK 43,7,14,"Colt McCoy pass incomplete. Penalty on Shawn Lauvao: Offensive Holding, 10 yards (no play)",2.590,1.240
2,6:07,2,14,CLE 47,7,14,Colt McCoy pass incomplete deep left intended for Josh Cribbs,1.240,0.560
2,6:03,3,14,CLE 47,7,14,Colt McCoy pass incomplete deep right intended for Greg Little,0.560,-0.260
2,5:54,4,14,CLE 47,7,14,Brad Maynard punts 34 yards,-0.260,-0.150
2,5:46,1,10,OAK 19,7,14,Darren McFadden left tackle for 2 yards (tackle by Jabaal Sheard),0.150,-0.060
2,5:13,2,8,OAK 21,7,14,"Jason Campbell pass incomplete short right intended for Jacoby Ford (defended by Dimitri Patterson). Penalty on Dimitri Patterson: Defensive Pass Interference, 4 yards (no play)",-0.060,0.610
2,5:08,1,10,OAK 25,7,14,Jason Campbell pass incomplete deep middle intended for Louis Murphy,0.610,0.060
2,5:03,2,10,OAK 25,7,14,Jason Campbell pass complete short left to Darren McFadden for 2 yards (tackle by T.J. Ward),0.060,-0.360
2,4:18,3,8,OAK 27,7,14,Jason Campbell up the middle for 7 yards (tackle by Chris Gocong),-0.360,-1.110
2,3:45,4,1,OAK 34,7,14,Kyle Boller up the middle for 2 yards,-1.110,1.330
2,3:26,1,10,OAK 36,7,14,Michael Bush left guard for -4 yards (tackle by D'Qwell Jackson),1.330,0.250
2,2:52,2,14,OAK 32,7,14,Kyle Boller sacked by Phil Taylor for -1 yards,0.250,-0.560
2,2:10,3,15,OAK 31,7,14,Michael Bush up the middle for 10 yards (tackle by D'Qwell Jackson),-0.560,-0.650
2,2:00,4,5,OAK 41,7,14,"Shane Lechler punts 49 yards, returned by Josh Cribbs for -1 yards (tackle by Darryl Blackstock)",-0.650,0.380
2,1:48,1,10,CLE 9,7,14,Montario Hardesty right tackle for 3 yards (tackle by Desmond Bryant),-0.380,-0.560
2,1:24,2,7,CLE 12,7,14,Colt McCoy pass incomplete short middle intended for Montario Hardesty,-0.560,-1.070
2,1:19,3,7,CLE 12,7,14,Colt McCoy pass incomplete short left intended for Ben Watson (defended by Rolando McClain),-1.070,-2.490
2,1:15,4,7,CLE 12,7,14,"Brad Maynard punts 47 yards, returned by Denarius Moore for -2 yards (tackle by James Dockery)",-2.490,-1.530
2,1:04,1,10,OAK 39,7,14,"Kyle Boller pass complete short left to Darren McFadden for -2 yards (tackle by Ahtyba Rubin). Penalty on CLE: Defensive 12 On-field, 5 yards (no play)",1.530,2.260
2,1:04,1,5,OAK 44,7,14,Kyle Boller pass incomplete short left intended for Jacoby Ford,2.260,1.660
2,0:51,2,5,OAK 44,7,14,Kyle Boller pass incomplete deep right intended for Denarius Moore,1.660,0.960
2,0:47,3,5,OAK 44,7,14,Darren McFadden up the middle for 4 yards (tackle by Usama Young),0.960,-0.190
2,0:42,,,,7,14,Timeout #3 by Cleveland Browns,0.000,-0.190
2,0:42,4,1,OAK 48,7,14,"Shane Lechler punts 52 yards, touchback",-0.190,-0.280
2,0:33,1,10,CLE 20,7,14,Montario Hardesty up the middle for 5 yards (tackle by Kamerion Wimbley),0.280,0.410
Quarter,Time,Down,ToGo,Location,CLE,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,7,14,"Phil Dawson kicks off 59 yards, returned by Taiwan Jones for 13 yards (tackle by Emmanuel Stephens)",0.000,0.150
3,14:55,1,10,OAK 19,7,14,Darren McFadden left end for 11 yards (tackle by Scott Fujita),0.150,0.940
3,14:34,1,10,OAK 30,7,14,Darren McFadden up the middle for 5 yards (tackle by T.J. Ward),0.940,1.070
3,14:04,2,5,OAK 35,7,14,Kyle Boller pass complete short right to Darrius Heyward-Bey for 7 yards (tackle by Dimitri Patterson),1.070,1.730
3,13:32,1,10,OAK 42,7,14,Michael Bush left guard for 3 yards (tackle by Ahtyba Rubin),1.730,1.590
3,12:57,2,7,OAK 45,7,14,Kyle Boller pass complete short left to Brandon Myers for 3 yards (tackle by Dimitri Patterson),1.590,1.290
3,12:14,3,4,OAK 48,7,14,Kyle Boller right end for 5 yards (tackle by Scott Fujita),1.290,2.460
3,11:36,1,10,CLE 47,7,14,"Kyle Boller for no gain. Kyle Boller fumbles, recovered by Darren McFadden at OAK-48",2.460,1.240
3,11:02,2,15,OAK 48,7,14,"Kyle Boller pass incomplete deep right intended for Chaz Schilens. Penalty on Samson Satele: Illegal Use of Hands, 10 yards (no play)",1.240,-0.110
3,10:55,2,25,OAK 38,7,14,Kyle Boller pass complete short right to Denarius Moore for 9 yards (tackle by Scott Paxson),-0.110,0.430
3,10:12,3,16,OAK 47,7,14,Kyle Boller pass complete short left to Michael Bush for 9 yards (tackle by Sheldon Brown),0.430,0.330
3,9:23,4,7,CLE 44,7,14,"Shane Lechler punts 34 yards, fair catch by Josh Cribbs",0.330,0.380
3,9:15,1,10,CLE 10,7,14,Montario Hardesty left end for 2 yards (tackle by Aaron Curry),-0.380,-0.630
3,8:36,2,8,CLE 12,7,14,"Colt McCoy pass complete short middle to Mohamed Massaquoi for 8 yards (tackle by Michael Huff). Penalty on Shawn Lauvao: Personal Foul, 10 yards",-0.630,-0.380
3,8:36,1,10,CLE 10,7,14,Montario Hardesty up the middle for 3 yards (tackle by Kamerion Wimbley),-0.380,-0.560
3,7:25,2,7,CLE 13,7,14,Colt McCoy right end for 9 yards (tackle by Stanford Routt),-0.560,0.410
3,6:58,1,10,CLE 22,7,14,Colt McCoy pass incomplete short left intended for Montario Hardesty,0.410,-0.130
3,6:52,2,10,CLE 22,7,14,Montario Hardesty up the middle for 7 yards (tackle by Jarvis Moss and Rolando McClain),-0.130,0.100
3,6:09,3,3,CLE 29,7,14,Colt McCoy pass incomplete short right intended for Mohamed Massaquoi,0.100,-1.440
3,6:05,4,3,CLE 29,7,14,"Brad Maynard punts 36 yards, fair catch by Denarius Moore",-1.440,-1.270
3,5:57,1,10,OAK 35,7,14,Kyle Boller pass incomplete short right intended for Manase Tonga,1.270,0.720
3,5:54,2,10,OAK 35,7,14,Darren McFadden up the middle for 3 yards (tackle by T.J. Ward),0.720,0.430
3,5:18,3,7,OAK 38,7,14,Kyle Boller pass complete short right to Jacoby Ford for 27 yards (tackle by Mike Adams),0.430,3.250
3,4:35,1,10,CLE 35,7,14,Kyle Boller pass incomplete deep right intended for Darrius Heyward-Bey,3.250,2.700
3,4:30,2,10,CLE 35,7,14,Darren McFadden right tackle for 2 yards (tackle by D'Qwell Jackson),2.700,2.280
3,3:51,3,8,CLE 33,7,14,Kyle Boller up the middle for 3 yards (tackle by Scott Fujita),2.280,1.450
3,3:12,4,5,CLE 30,7,17,Sebastian Janikowski 48 yard field goal good,1.450,3.000
3,,,,OAK 35,7,17,"Sebastian Janikowski kicks off 57 yards, returned by Josh Cribbs for 17 yards (tackle by Tyvon Branch)",0.000,0.610
3,2:58,1,10,CLE 25,7,17,Colt McCoy pass incomplete short left intended for Greg Little,0.610,0.060
3,2:55,2,10,CLE 25,7,17,"Colt McCoy for no gain. Colt McCoy fumbles, recovered by Tommy Kelly at CLE-25 (tackle by Shawn Lauvao)",0.060,-3.910
3,2:51,1,10,CLE 25,7,17,David Ausberry left end for -2 yards (tackle by D'Qwell Jackson),3.910,3.090
3,2:14,2,12,CLE 27,7,17,Kyle Boller pass incomplete short right intended for Denarius Moore,3.090,2.410
3,2:06,3,12,CLE 27,7,17,"Kyle Boller sacked by Jabaal Sheard for -7 yards. Kyle Boller fumbles (forced by Jabaal Sheard), recovered by Kyle Boller at CLE-35",2.410,0.970
3,1:33,4,20,CLE 35,7,23,"Shane Lechler pass complete short right to Kevin Boss for 35 yards, touchdown",0.970,7.000
3,,,,CLE 2,7,24,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 35,7,24,"Sebastian Janikowski kicks off 63 yards, returned by Josh Cribbs for 21 yards (tackle by Darryl Blackstock)",0.000,0.480
3,1:17,1,10,CLE 23,7,24,Colt McCoy pass complete deep left to Greg Little for 16 yards (tackle by Tyvon Branch),0.480,1.530
3,0:36,1,10,CLE 39,7,24,Colt McCoy pass incomplete short left intended for Alex Smith,1.530,0.990
3,0:31,2,10,CLE 39,7,24,Colt McCoy pass incomplete short left intended for Greg Little,0.990,0.300
3,0:26,3,10,CLE 39,7,24,Colt McCoy pass incomplete short left intended for Josh Cribbs,0.300,-0.780
3,0:22,4,10,CLE 39,7,24,"Brad Maynard punts 47 yards, fair catch by Denarius Moore",-0.780,0.280
3,0:14,1,10,OAK 14,7,24,Darren McFadden left end for 2 yards (tackle by Jayme Mitchell and T.J. Ward),-0.280,-0.510
Quarter,Time,Down,ToGo,Location,CLE,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,OAK 16,7,24,Darren McFadden left guard for -2 yards (tackle by T.J. Ward),-0.510,-1.400
4,14:30,3,10,OAK 14,7,24,Kyle Boller pass incomplete deep right intended for Darrius Heyward-Bey,-1.400,-2.470
4,14:24,4,10,OAK 14,7,24,"Shane Lechler punts 59 yards, returned by Josh Cribbs for 31 yards (tackle by Quentin Groves)",-2.470,-2.790
4,14:09,1,10,OAK 42,7,24,Montario Hardesty up the middle for 2 yards (tackle by Rolando McClain),2.790,2.510
4,13:45,2,8,OAK 40,7,24,Colt McCoy pass complete short middle to Ben Watson for 5 yards,2.510,2.480
4,13:18,3,3,OAK 35,7,24,Colt McCoy pass complete short middle to Greg Little for 6 yards (tackle by Tyvon Branch),2.480,3.640
4,12:47,1,10,OAK 29,7,24,Colt McCoy pass incomplete,3.640,3.100
4,12:41,2,10,OAK 29,7,24,Colt McCoy pass incomplete deep left intended for Greg Little,3.100,2.410
4,12:34,3,10,OAK 29,7,24,Colt McCoy pass incomplete short right intended for Evan Moore. Penalty on Jordan Norwood: Illegal Shift (Declined),2.410,1.500
4,12:28,4,10,OAK 29,10,24,Phil Dawson 47 yard field goal good,1.500,3.000
4,,,,CLE 35,10,24,"Phil Dawson kicks off 67 yards, returned by Jacoby Ford for 37 yards (tackle by James Dockery)",0.000,1.270
4,12:18,1,10,OAK 35,10,24,Darren McFadden left guard for 3 yards (tackle by Jayme Mitchell),1.270,1.130
4,11:41,2,7,OAK 38,10,24,Kyle Boller pass complete short right to Darrius Heyward-Bey for 16 yards (tackle by Dimitri Patterson),1.130,2.520
4,11:05,1,10,CLE 46,10,24,"Michael Bush left end for 3 yards (tackle by Usama Young). Penalty on Samson Satele: Offensive Holding, 10 yards (no play)",2.520,1.860
4,10:41,,,,10,24,Timeout #1 by Oakland Raiders,0.000,1.860
4,10:41,1,20,OAK 44,10,24,Kyle Boller pass complete short right to Darrius Heyward-Bey for 14 yards (tackle by D'Qwell Jackson),1.860,2.520
4,10:01,2,6,CLE 42,10,24,Michael Bush right tackle for 5 yards (tackle by Kaluka Maiava),2.520,2.480
4,9:25,3,1,CLE 37,10,24,Michael Bush right guard for 3 yards (tackle by D'Qwell Jackson),2.480,3.310
4,8:45,1,10,CLE 34,10,24,Michael Bush left guard for 4 yards (tackle by Phil Taylor),3.310,3.310
4,8:08,2,6,CLE 30,10,24,Michael Bush left end for 1 yard (tackle by Auston English),3.310,2.740
4,7:29,3,5,CLE 29,10,24,Kyle Boller pass complete short middle to Darrius Heyward-Bey for 15 yards (tackle by Usama Young),2.740,4.650
4,6:50,1,10,CLE 14,10,24,Darren McFadden left tackle for 5 yards (tackle by D'Qwell Jackson),4.650,4.900
4,6:05,,,,10,24,Timeout #2 by Oakland Raiders,0.000,4.900
4,6:05,2,5,CLE 9,10,24,Darren McFadden left tackle for 3 yards (tackle by D'Qwell Jackson),4.900,4.730
4,5:32,3,2,CLE 6,10,24,Darren McFadden right guard for 1 yard (tackle by Ahtyba Rubin),4.730,3.030
4,4:49,4,1,CLE 5,10,24,Michael Bush up the middle for no gain (tackle by Jabaal Sheard),3.030,0.380
4,4:44,1,10,CLE 5,10,24,Colt McCoy up the middle for 3 yards,-0.380,-0.560
4,4:15,2,7,CLE 8,10,24,Colt McCoy pass complete short right to Ben Watson for 12 yards (tackle by Michael Huff),-0.560,0.280
4,3:57,1,10,CLE 20,10,24,Colt McCoy pass complete short middle to Montario Hardesty for 6 yards (tackle by Rolando McClain),0.280,0.540
4,3:31,2,4,CLE 26,10,24,Colt McCoy pass complete short left to Evan Moore for 1 yard,0.540,-0.030
4,3:06,3,3,CLE 27,10,24,Colt McCoy pass complete short right to Ben Watson for 18 yards (tackle by Michael Mitchell),-0.030,1.930
4,3:00,1,10,CLE 45,10,24,Colt McCoy sacked by Lamarr Houston for -2 yards,1.930,1.110
4,2:35,,,,10,24,Timeout #1 by Cleveland Browns,0.000,1.110
4,2:34,2,12,CLE 43,10,24,Colt McCoy pass complete short right to Mohamed Massaquoi for 10 yards (tackle by Tyvon Branch),1.110,1.750
4,2:08,3,2,OAK 47,10,24,Colt McCoy pass complete short middle to Greg Little for 10 yards (tackle by Stanford Routt and Tyvon Branch),1.750,3.120
4,1:59,1,10,OAK 37,10,24,Colt McCoy pass complete short right to Montario Hardesty for 12 yards (tackle by Rolando McClain),3.120,3.910
4,1:53,1,10,OAK 25,10,24,Colt McCoy pass incomplete deep middle intended for Ben Watson (defended by Michael Mitchell),3.910,3.360
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
4,1:49,2,10,OAK 25,10,24,Colt McCoy pass complete short middle to Greg Little for 13 yards (tackle by Matt Giordano),3.360,4.780
4,1:20,1,10,OAK 12,10,24,Colt McCoy pass incomplete short left intended for Ben Watson,4.780,4.100
4,1:14,2,10,OAK 12,10,24,Colt McCoy pass incomplete short middle intended for Ben Watson,4.100,3.120
4,1:11,3,10,OAK 12,16,24,"Colt McCoy pass complete short right to Mohamed Massaquoi for 12 yards, touchdown",3.120,7.000
4,,,,OAK 2,17,24,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 35,17,24,"Phil Dawson kicks onside 16 yards, recovered by James Dockery (onside kick successful)",0.000,2.320
,,,,,,,"Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",,
4,1:05,1,10,OAK 49,17,24,Colt McCoy pass complete short left to Josh Cribbs for 7 yards (tackle by Tyvon Branch),2.320,2.730
4,0:43,2,3,OAK 42,17,24,Colt McCoy pass incomplete short middle intended for Greg Little,2.730,2.020
4,0:40,3,3,OAK 42,17,24,Colt McCoy pass incomplete short left intended for Ben Watson (defended by Rolando McClain),2.020,0.460
4,0:33,4,3,OAK 42,17,24,Colt McCoy pass incomplete short right intended for Mohamed Massaquoi (defended by Stanford Routt),0.460,-1.730
4,0:29,1,10,OAK 42,17,24,Kyle Boller kneels for -1 yards,1.730,1.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
