Unnamed: 0,ATL,NYG
First Downs,27,26
Rush-Yds-TDs,30-90-2,26-88-1
Cmp-Att-Yd-TD-INT,26-46-268-2-0,25-39-384-3-1
Sacked-Yards,2-6,1-16
Net Pass Yards,262,368
Total Yards,352,456
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,3-16,8-64
Third Down Conv.,9-16,7-14
Fourth Down Conv.,2-2,0-0
Time of Possession,31:48,32:06
