Unnamed: 0,DET,MIN
First Downs,14,19
Rush-Yds-TDs,22-63-0,20-174-1
Cmp-Att-Yd-TD-INT,22-33-217-1-0,20-33-189-1-1
Sacked-Yards,5-35,3-18
Net Pass Yards,182,171
Total Yards,245,345
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,6-52,4-25
Third Down Conv.,5-15,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:37,27:23
