Quarter,Time,Tm,Detail,DET,MIN
1.0,2:41,Vikings,Cordarrelle Patterson 50 yard rush (Blair Walsh kick),0,7
3.0,10:27,Lions,Reggie Bush 19 yard pass from Matthew Stafford (David Akers kick),7,7
4.0,14:25,Lions,David Akers 25 yard field goal,10,7
,12:43,Lions,David Akers 53 yard field goal,13,7
,9:19,Vikings,Cordarrelle Patterson 8 yard pass from Matt Cassel (Blair Walsh kick),13,14
