Unnamed: 0,CAR,TAM
First Downs,14,17
Rush-Yds-TDs,20-40-0,37-142-1
Cmp-Att-Yd-TD-INT,20-39-242-0-3,15-20-173-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,242,173
Total Yards,282,315
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,4-16,7-80
Third Down Conv.,3-12,6-13
Fourth Down Conv.,0-2,0-0
Time of Possession,25:18,34:42
