Quarter,Time,Tm,Detail,CAR,TAM
1.0,12:25,Buccaneers,Geno Hayes 22 yard blocked punt return (Matt Bryant kick),0,7
,2:40,Buccaneers,Alex Smith 2 yard pass from Jeff Garcia (Matt Bryant kick),0,14
2.0,12:31,Panthers,John Kasay 20 yard field goal,3,14
,8:58,Buccaneers,Matt Bryant 37 yard field goal,3,17
3.0,6:03,Buccaneers,Matt Bryant 49 yard field goal,3,20
4.0,14:11,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),3,27
