Unnamed: 0,TAM,PIT
First Downs,21,27
Rush-Yds-TDs,19-63-1,27-85-0
Cmp-Att-Yd-TD-INT,21-43-302-2-1,30-41-331-3-0
Sacked-Yards,1-15,5-26
Net Pass Yards,287,305
Total Yards,350,390
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,9-50,13-125
Third Down Conv.,7-13,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:45,34:15
